# Number of simulations: 100
# Multi compartment simulation; White noise sigma=7; both stimulus; Ra parameter; dt=0.1
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 44.903864 minutes
# sigma	diff	accuracy	sharper	sigma_err
1.424268470393010411e+01	3.003003003003003357e+01	1.242030567479066505e+01	1.192815721649483907e+00	0.000000000000000000e+00
1.750842163215190794e+01	5.605605605605603614e+00	9.480984186024551263e+01	1.131743848387589901e+00	0.000000000000000000e+00
1.048765314515357083e+01	3.503503503503509364e+00	9.469215058885677649e+01	1.900911307919394888e+00	0.000000000000000000e+00
1.575064582968927773e+01	4.504504504504510010e+00	9.573263320764128537e+01	1.269609944277753977e+00	0.000000000000000000e+00
7.948760435171871308e-02	7.948760435171871308e-02	7.948760435171871308e-02	7.948760435171871308e-02	7.948760435171871308e-02
9.055355892666613116e+00	3.603603603603602323e+00	9.208420555943399677e+01	2.202230483271375938e+00	0.000000000000000000e+00
1.140878268183547384e+01	9.009009009008934754e-01	9.965977746531700632e+01	1.749970459647878673e+00	0.000000000000000000e+00
1.613295616101103747e+01	1.921921921921921239e+01	4.755947396599393073e+01	1.170288423548003998e+00	0.000000000000000000e+00
1.447797875367079179e+01	6.706706706706697219e+00	8.934809792652322358e+01	1.378187232458588207e+00	0.000000000000000000e+00
9.540234657134178065e+00	1.361361361361362299e+01	3.990441900108587703e+01	2.090036692068867552e+00	0.000000000000000000e+00
1.288264477467410352e+01	6.306306306306296960e+00	8.824559632983073243e+01	1.553387874973777283e+00	0.000000000000000000e+00
1.921668598937264250e+01	1.621621621621619624e+01	7.263221410037216685e+01	1.060812262731895661e+00	0.000000000000000000e+00
1.833478489115046983e+01	4.004004004004002581e+00	9.767485906177417121e+01	1.100378928597963935e+00	0.000000000000000000e+00
1.865825838037399365e+01	1.981981981981982699e+01	5.878099074180778416e+01	9.322087241140553093e-01	0.000000000000000000e+00
1.473873295340701084e+01	2.002002002002001291e+00	9.908079154869645322e+01	1.359838398677806648e+00	0.000000000000000000e+00
1.528386169118060955e+01	4.144144144144144093e+01	1.674204335611193173e+01	1.129930571450370458e+00	0.000000000000000000e+00
1.340495433184288387e+01	9.109109109109098767e+00	7.799835930758855795e+01	1.491590291066572149e+00	0.000000000000000000e+00
1.348035990579000298e+01	8.108108108108098122e+00	8.224911568610123425e+01	1.485456369107322150e+00	0.000000000000000000e+00
1.774524345616729448e+01	8.408408408408405421e+00	8.863609373410182002e+01	1.106214520466088924e+00	0.000000000000000000e+00
1.428078688797227436e+01	1.831831831831830470e+01	4.040549738824197590e+01	1.366236162361623263e+00	0.000000000000000000e+00
1.667855210813506517e+01	4.504504504504510010e+00	9.643651445613285489e+01	1.211947626841243908e+00	0.000000000000000000e+00
1.916720734325103948e+01	2.092092092092090638e+01	5.888874086095865579e+01	8.725108990220333816e-01	0.000000000000000000e+00
1.257410486606160305e+01	5.905905905905896702e+00	8.906482230692779467e+01	1.589396866280317733e+00	0.000000000000000000e+00
1.058223218171173841e+01	1.101101101101093604e+00	9.950819494661924125e+01	1.882547349688571181e+00	0.000000000000000000e+00
1.585413474158602831e+01	2.042042042042042738e+01	4.155493519553353821e+01	1.181491822895891053e+00	0.000000000000000000e+00
1.054937368831878075e+01	7.107107107107111688e+00	8.077872350405617397e+01	1.891684761783113844e+00	0.000000000000000000e+00
1.806598285066414533e+01	3.433433433433430082e+01	3.567824499858768661e+01	8.923299391456287477e-01	0.000000000000000000e+00
1.785353257175953701e+01	2.442442442442441575e+01	4.413372977691643939e+01	9.391249207355740758e-01	0.000000000000000000e+00
1.202549742447883929e+01	2.002002002002001291e+00	9.865437155864609053e+01	1.677806729353119586e+00	0.000000000000000000e+00
1.184481711773181800e+01	1.511511511511511685e+01	4.859591968214500213e+01	1.692764887415704411e+00	0.000000000000000000e+00
1.386455128116576674e+01	7.507507507507511946e+00	8.581386281065701382e+01	1.439121562530366161e+00	0.000000000000000000e+00
1.112889088436986640e+01	4.004004004004002581e+00	9.403996968526853095e+01	1.796240145542753686e+00	0.000000000000000000e+00
9.961343701427232133e+00	1.651651651651651775e+01	2.892742191598476253e+01	2.001080935008782369e+00	0.000000000000000000e+00
1.437735389843840395e+01	2.902902902902901872e+01	1.445789345656330838e+01	1.209078292105477459e+00	0.000000000000000000e+00
1.417180008213581388e+01	5.305305305305296315e+00	9.285078614499899174e+01	1.414112479709729753e+00	0.000000000000000000e+00
1.288865701524429497e+01	3.113113113113112718e+01	1.121070184599225783e+01	1.516951756632182180e+00	0.000000000000000000e+00
1.377136840955583885e+01	1.001001001001000645e+00	9.973272451219956736e+01	1.456243854473942889e+00	0.000000000000000000e+00
1.414013773748453318e+01	8.508508508508512591e+00	8.142393430818206923e+01	1.421168793781786732e+00	0.000000000000000000e+00
