# Number of simulations: 100
# Multi compartment simulation; White noise sigma=7; both stimulus; gpas parameter; dt=0.1
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 44.903864 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
3.728970952922060457e-06	8.408408408408401852e-06	9.597134656713945944e+00	5.032279986408426886e+00	0.000000000000000000e+00
5.233025294574168248e-06	2.002002002001997214e-07	9.994801728735728830e+01	3.752216873574865996e+00	0.000000000000000000e+00
-1.428581479307269053e-06	4.004004004003994428e-07	9.691805543481261509e+01	1.397169811320754107e+01	0.000000000000000000e+00
4.859606849004333197e-06	8.008008008007988857e-07	9.846314562705158835e+01	4.096818810511757114e+00	0.000000000000000000e+00
2.535322300877537422e-08	2.535322300877537422e-08	2.535322300877537422e-08	2.535322300877537422e-08	2.535322300877537422e-08
-2.086652202655071466e-06	1.201201201201198328e-06	8.448348715940464615e+01	9.548678272082526064e+00	0.000000000000000000e+00
-1.827203364567129193e-06	1.201201201201198328e-06	7.947755365377771852e+01	1.091378039793662857e+01	0.000000000000000000e+00
3.677611802335786716e-06	4.704704704704707006e-06	4.370477819347986781e+01	5.129892622099066379e+00	0.000000000000000000e+00
-2.885089941709051234e-06	1.801801801801797493e-06	8.079594904461224303e+01	6.891577477896700721e+00	0.000000000000000000e+00
-1.784937131563104502e-06	2.102102102102110627e-06	5.304901015003945730e+01	1.113533834586466220e+01	0.000000000000000000e+00
3.116909978303208310e-06	3.903903903903908120e-06	4.168028558377501724e+01	6.394645941278065848e+00	0.000000000000000000e+00
7.299961509207452361e-06	3.703703703703708399e-06	8.895551034364059717e+01	2.723928637116056706e+00	0.000000000000000000e+00
7.267839683574208039e-06	1.801801801801797493e-06	9.674621296851333341e+01	2.740055504162811406e+00	0.000000000000000000e+00
7.521821760498968345e-06	8.508508508508501713e-06	5.771183209785976231e+01	2.420725727361882296e+00	0.000000000000000000e+00
-4.006472233910153057e-06	1.001001001000998607e-07	9.998590889431265794e+01	4.989892183288407779e+00	0.000000000000000000e+00
