# Number of simulations: 100
# Multi compartment simulation; White noise sigma=7; broad stimulus; Ra parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 38.691895 minutes
# sigma	diff	accuracy	sharper	sigma_err
1.324325028397604775e+01	9.009009009009005808e+00	8.002622839057714543e+01	1.500506585612967569e+00	0.000000000000000000e+00
1.632553234025793998e+01	1.071071071071071401e+01	8.163186067770864440e+01	1.211551047120418501e+00	0.000000000000000000e+00
1.592142101034881030e+01	1.401401401401400904e+00	9.964468850266825939e+01	1.245060949978982645e+00	0.000000000000000000e+00
1.493565492602376565e+01	7.307307307307311817e+00	8.881478938621283703e+01	1.326823149973123117e+00	0.000000000000000000e+00
3.713288118321815545e-02	3.713288118321815545e-02	3.713288118321815545e-02	3.713288118321815545e-02	3.713288118321815545e-02
1.245558369779882923e+01	8.823999997360751024e+00	7.759768048277483388e+01	1.587105729929821907e+00	0.000000000000000000e+00
1.518353803444579775e+01	9.209209209209205937e+00	8.371386134802064305e+01	1.307495365056943193e+00	0.000000000000000000e+00
1.579877239188905946e+01	1.801801801801801162e+00	9.938665395244872514e+01	1.254765737524357494e+00	0.000000000000000000e+00
1.635704424686107217e+01	1.101101101101100710e+01	7.993293918411181664e+01	1.202500811951932702e+00	0.000000000000000000e+00
1.532041877177642064e+01	1.861861861861862621e+01	5.060455598353033224e+01	1.287938081572310045e+00	0.000000000000000000e+00
1.703190902509149041e+01	5.005005005004932173e-01	9.995683006007409688e+01	1.161568627450979996e+00	0.000000000000000000e+00
1.309534792955984095e+01	1.881881881881881924e+01	3.857034190302343291e+01	1.516175266175266101e+00	0.000000000000000000e+00
1.557985421731683040e+01	1.901901901901894121e+00	9.923345611286718793e+01	1.272555421893796002e+00	0.000000000000000000e+00
1.610934158254419302e+01	1.211211211211211491e+01	7.632710271770083921e+01	1.228332089242763159e+00	0.000000000000000000e+00
1.469115876964556477e+01	3.403403403403402194e+00	9.740444344357118212e+01	1.351647348726841669e+00	0.000000000000000000e+00
1.560713067844703517e+01	1.301301301301300839e+01	7.064056631705952327e+01	1.259032559721159128e+00	0.000000000000000000e+00
1.695302186449949033e+01	1.461461461461460942e+01	7.041682590892631310e+01	1.160294578502036211e+00	0.000000000000000000e+00
1.693804211243362801e+01	2.802802802802801807e+00	9.870904418201497776e+01	1.167520693732755355e+00	0.000000000000000000e+00
1.529759653722613955e+01	1.031031031031031375e+01	8.035629654863724625e+01	1.296620556820172077e+00	0.000000000000000000e+00
1.555257931921786785e+01	2.302302302302294379e+00	9.893248366656564485e+01	1.274965564738291812e+00	0.000000000000000000e+00
1.566798954664870891e+01	1.381381381381381601e+01	6.973086193804671495e+01	1.262144196352479542e+00	0.000000000000000000e+00
1.426241868331690554e+01	4.504504504504502904e+00	9.523877412354124772e+01	1.393095663625247616e+00	0.000000000000000000e+00
1.579048543054907583e+01	6.406406406406404130e+00	9.219090923935139870e+01	1.252855088401995554e+00	0.000000000000000000e+00
1.631158425577020665e+01	3.003003003002930882e-01	9.998266408476713707e+01	1.215029945032405800e+00	0.000000000000000000e+00
1.460744991999287201e+01	1.971971971971971982e+01	4.316181206530580283e+01	1.350168657124624305e+00	0.000000000000000000e+00
1.524500851237259447e+01	1.001001001000929591e-01	9.999739358901068442e+01	1.301634733696606983e+00	0.000000000000000000e+00
1.532113647983420890e+01	6.906906906906911559e+00	9.029127502850998610e+01	1.291982901509203696e+00	0.000000000000000000e+00
1.581991808603124738e+01	7.707707707707712075e+00	8.885222994177868827e+01	1.248945859335468533e+00	0.000000000000000000e+00
1.753611186093486296e+01	2.702702702702694637e+00	9.881928012029129604e+01	1.127521888085267987e+00	0.000000000000000000e+00
1.757155237873266884e+01	6.706706706706683008e+00	9.323777770367777862e+01	1.124610828460778977e+00	0.000000000000000000e+00
1.709319320824996780e+01	2.602602602602587467e+00	9.886654741747420871e+01	1.157845360018762593e+00	0.000000000000000000e+00
1.530135609970788302e+01	1.301301301301307944e+00	9.965313507950516225e+01	1.296961205009195428e+00	0.000000000000000000e+00
1.676865505372039777e+01	9.809809809809806325e+00	8.493216788897819924e+01	1.179234015447089945e+00	0.000000000000000000e+00
1.633546279399090295e+01	3.203203203203202065e+00	9.818558120409318235e+01	1.213337702769130111e+00	0.000000000000000000e+00
1.710142513199888015e+01	5.505505505505482233e+00	9.514763588137556383e+01	1.157573862748162874e+00	0.000000000000000000e+00
1.598582065194611523e+01	6.606606606606604259e+00	9.199940571570759573e+01	1.240368509212730563e+00	0.000000000000000000e+00
1.663615958060554334e+01	5.405405405405389274e+00	9.490254643832010117e+01	1.187936151439801025e+00	0.000000000000000000e+00
1.527570069381538964e+01	8.408408408408405421e+00	8.584427830834562201e+01	1.295373042945859421e+00	0.000000000000000000e+00
