# Number of simulations: 100
# Multi compartment simulation; White noise sigma=7; broad stimulus; gpas parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 38.691895 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
1.444148084629320290e-06	1.101101101101105244e-06	7.578989201722463065e+01	1.366236162361624551e+01	0.000000000000000000e+00
4.359528106209134585e-06	2.702702702702709792e-06	8.395331547678378570e+01	4.520757020757018907e+00	0.000000000000000000e+00
5.380770449209913466e-06	1.701701701701711185e-06	9.542959535440699881e+01	3.681332339050459979e+00	0.000000000000000000e+00
2.610522727966544000e-06	2.402402402402396657e-06	6.554371243993722373e+01	7.567705671946860058e+00	0.000000000000000000e+00
1.285190484459492906e-08	1.285190484459492906e-08	1.285190484459492906e-08	1.285190484459492906e-08	1.285190484459492906e-08
2.535675146576752330e-06	5.005005005005128561e-07	9.808837460858590873e+01	7.815303430079160840e+00	0.000000000000000000e+00
3.735238477547583469e-06	2.802802802802796100e-06	7.750449708880348965e+01	5.298747763864041893e+00	0.000000000000000000e+00
4.559779287250749585e-06	1.001001001000998607e-07	9.999004607095842800e+01	4.339290946381483494e+00	0.000000000000000000e+00
4.540823080442414283e-06	6.706706706706704220e-06	3.225691358062243097e+01	4.314011069035829316e+00	0.000000000000000000e+00
4.304607703589756784e-06	5.005005005005006588e-06	5.537087833422461358e+01	4.541551671266482515e+00	0.000000000000000000e+00
7.046989994726198991e-06	4.204204204204194150e-06	8.384745320281743375e+01	2.800680786686837731e+00	0.000000000000000000e+00
2.447965609584775217e-06	3.603603603603608538e-06	3.797460176142978128e+01	8.092896174863389192e+00	0.000000000000000000e+00
3.812283277891190168e-06	9.009009009008987464e-07	9.725253373589669081e+01	5.205623901581721391e+00	0.000000000000000000e+00
3.702137747699077800e-06	1.201201201201198328e-06	9.538959476594041575e+01	5.321595400646784491e+00	0.000000000000000000e+00
3.791755916618423012e-06	4.404404404404393871e-06	4.910230224664809384e+01	5.236916548797737825e+00	0.000000000000000000e+00
6.021396347112425885e-06	5.905905905905905334e-06	6.194849317231031449e+01	3.245671707210168844e+00	0.000000000000000000e+00
4.377720970787694133e-06	3.803803803803808259e-06	7.078960367831696487e+01	4.456816130003007359e+00	0.000000000000000000e+00
6.503411224875038734e-06	7.007007007006990250e-06	5.528180267675752901e+01	3.032350532350534422e+00	0.000000000000000000e+00
2.929158152078717815e-06	1.201201201201211881e-06	9.188627115809974555e+01	6.759470561387493248e+00	0.000000000000000000e+00
4.993064101815535820e-06	5.605605605605619305e-06	5.635174220103552756e+01	3.973705393077540116e+00	0.000000000000000000e+00
7.241507018136961714e-06	3.003003003003131346e-07	9.991171358163639127e+01	2.718927850192766282e+00	0.000000000000000000e+00
3.760765059033580670e-06	1.801801801801811045e-06	8.986169680768755086e+01	5.281740370898715398e+00	0.000000000000000000e+00
6.272447515282445637e-06	8.608608608608588021e-06	3.693164594559419101e+01	3.149723521905572365e+00	0.000000000000000000e+00
6.187501172584645077e-06	2.502502502502482965e-06	9.213339113985982465e+01	3.200086430423511707e+00	0.000000000000000000e+00
2.636199301293251872e-06	4.404404404404407424e-06	3.054497322803200632e+01	7.434738955823291029e+00	0.000000000000000000e+00
4.557935726376703732e-06	4.004004004003994428e-07	9.958641069194599993e+01	4.354601587768301307e+00	0.000000000000000000e+00
2.714165436272658819e-06	0.000000000000000000e+00	1.000000000000000000e+02	7.291974396848845963e+00	0.000000000000000000e+00
6.060895595970410997e-06	4.504504504504507284e-06	7.573492110539645239e+01	3.247094935321201969e+00	0.000000000000000000e+00
7.585471963554080345e-06	2.902902902902882408e-06	9.304109488266603023e+01	2.599613831841322220e+00	0.000000000000000000e+00
4.741019135953797709e-06	1.101101101101112020e-06	9.750258982632206539e+01	4.147297675721087984e+00	0.000000000000000000e+00
4.295437738061665569e-06	3.203203203203195543e-06	7.719414001269477410e+01	4.605099502487566276e+00	0.000000000000000000e+00
3.026345926087933967e-06	6.006006006005991642e-07	9.773059559970501198e+01	6.550199026979217187e+00	0.000000000000000000e+00
5.061991276463783675e-06	2.302302302302310349e-06	9.047599040889944888e+01	3.887139107611549349e+00	0.000000000000000000e+00
3.215244490175751679e-06	3.203203203203209095e-06	6.079793871335715494e+01	6.158004158004160011e+00	0.000000000000000000e+00
4.059856216331519666e-06	9.009009009008987464e-07	9.787976997538319779e+01	4.865308804204993898e+00	0.000000000000000000e+00
3.888854219794795787e-06	3.003003003002995821e-07	9.976189275601903717e+01	5.096352374397798535e+00	0.000000000000000000e+00
4.756308025003744191e-06	2.302302302302296796e-06	8.947997424555489943e+01	4.147297675721087096e+00	0.000000000000000000e+00
3.053629131725073946e-06	2.302302302302296796e-06	7.455201524678855662e+01	6.461605584642232003e+00	0.000000000000000000e+00
6.536886635835697054e-06	6.106106106106105056e-06	6.308624733449842381e+01	3.024300592199307136e+00	0.000000000000000000e+00
