# Number of simulations: 100
# Multi compartment simulation; White noise sigma=7; narrow stimulus; Ra parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 12.597366 minutes
# sigma	diff	accuracy	sharper	sigma_err
1.319812672722182789e+01	1.021021021021020658e+01	7.542868340315077091e+01	1.529642635819045360e+00	0.000000000000000000e+00
1.066648366332176501e+01	1.471471471471471659e+01	4.240081827770029577e+01	1.875633232016209906e+00	0.000000000000000000e+00
1.726277802563648933e+01	7.407407407407404776e+00	9.092231539448208366e+01	1.143982697358256972e+00	0.000000000000000000e+00
1.407027421603912565e+01	1.031031031031029954e+01	7.491992942122453769e+01	1.413437678946363185e+00	0.000000000000000000e+00
8.072287728406855878e-02	8.072287728406855878e-02	8.072287728406855878e-02	8.072287728406855878e-02	8.072287728406855878e-02
2.160403462549535192e+01	4.404404404404374418e+00	9.796047878928334285e+01	9.211344694613754491e-01	0.000000000000000000e+00
1.415999064762635129e+01	1.141141141141140736e+01	7.415181360246401709e+01	1.429674679023071437e+00	0.000000000000000000e+00
1.554624068224107525e+01	1.401401401401400904e+00	9.960780085573698273e+01	1.287378303198887686e+00	0.000000000000000000e+00
1.463744286069122147e+01	9.009009009009005808e+00	8.341833433993049596e+01	1.379599441080576971e+00	0.000000000000000000e+00
1.462826905578182135e+01	1.391391391391391608e+01	6.612228106754697876e+01	1.377674418604650564e+00	0.000000000000000000e+00
1.877722766905988649e+01	1.101101101101107815e+00	9.983058283852224690e+01	1.070705610179293998e+00	0.000000000000000000e+00
1.601005765183231944e+01	1.791791791791791866e+01	5.744658693241954950e+01	1.266136616226382738e+00	0.000000000000000000e+00
1.396455867487031810e+01	2.202202202202201420e+00	9.867472876955480388e+01	1.440381248784283086e+00	0.000000000000000000e+00
1.313393565454074619e+01	1.681681681681680374e+01	3.878108003270941140e+01	1.508914926133468892e+00	0.000000000000000000e+00
1.776604736421102260e+01	4.004004004004002581e-01	9.997065902127332038e+01	1.129413559063524808e+00	0.000000000000000000e+00
1.934363401333093080e+01	2.482482482482484443e+01	5.116021198583260343e+01	1.038642261028122515e+00	0.000000000000000000e+00
1.508203569575506364e+01	2.002002002002001291e+00	9.905936757536589710e+01	1.329801562359700595e+00	0.000000000000000000e+00
2.381329436200577021e+01	2.902902902902894766e+00	9.929660576796359805e+01	8.101750547045948325e-01	0.000000000000000000e+00
1.956268768056731489e+01	4.704704704704695928e+00	9.720753369900927510e+01	1.026049605099071726e+00	0.000000000000000000e+00
1.455418107289396978e+01	3.103103103103109106e+00	9.776365382873449050e+01	1.373967900547359733e+00	0.000000000000000000e+00
1.286979946339199898e+01	9.009009009009076863e-01	9.974911166901014781e+01	1.553387874973777505e+00	0.000000000000000000e+00
1.592004452185318719e+01	2.772772772772772498e+01	2.526062629077891586e+01	1.050056721497447221e+00	0.000000000000000000e+00
1.755171729589405061e+01	5.005005005005074281e-01	9.995785443804521719e+01	1.141249903675733313e+00	0.000000000000000000e+00
1.346108224103469908e+01	5.405405405405389274e+00	9.202830739174436303e+01	1.482927806147992467e+00	0.000000000000000000e+00
2.194166556691358849e+01	1.571571571571573145e+01	8.031769494587754821e+01	7.778361344537811917e-01	0.000000000000000000e+00
1.207016877520168485e+01	2.302302302302294379e+00	9.817570841527157199e+01	1.657712111036489411e+00	0.000000000000000000e+00
1.908202368529089554e+01	1.591591591591591737e+01	7.291400869232774085e+01	1.067772170151405797e+00	0.000000000000000000e+00
1.392241457244929315e+01	2.002002002002143399e-01	9.998590055414284450e+01	1.440381248784283530e+00	0.000000000000000000e+00
1.780709665434889644e+01	9.609609609609606196e+00	8.578168687450829566e+01	1.097443497591700456e+00	0.000000000000000000e+00
1.511390414133648008e+01	2.612612612612610974e+01	2.312673002028427405e+01	1.185938500960921793e+00	0.000000000000000000e+00
1.505094821699653274e+01	2.902902902902908977e+00	9.808004824480305217e+01	1.334715212689256303e+00	0.000000000000000000e+00
1.251279801301632588e+01	1.301301301301302260e+01	6.117210156888002359e+01	1.607860167191400569e+00	0.000000000000000000e+00
1.723047109986708136e+01	3.403403403403402194e+00	9.804678138360382889e+01	1.175956804827695601e+00	0.000000000000000000e+00
1.883680354183021421e+01	1.411411411411411621e+01	7.542632256393984846e+01	9.948945317748220107e-01	0.000000000000000000e+00
1.632983430818578441e+01	6.006006006005861764e-01	9.992737461016648126e+01	1.229760026571452558e+00	0.000000000000000000e+00
1.798245214621159249e+01	3.143143143143142026e+01	3.664403003047535634e+01	8.873576992210905345e-01	0.000000000000000000e+00
1.222856544757577169e+01	1.801801801801802583e+01	3.881203123634352181e+01	1.640633654591779678e+00	0.000000000000000000e+00
1.264965875457932754e+01	5.705705705705696573e+00	9.048036081039288092e+01	1.586502410283878062e+00	0.000000000000000000e+00
1.158770595654501712e+01	1.801801801801801162e+00	9.877413949564015638e+01	1.730544519747604593e+00	0.000000000000000000e+00
1.626064951695535754e+01	2.312312312312312201e+01	3.635650991701561452e+01	1.106462457975345703e+00	0.000000000000000000e+00
1.222840243432597873e+01	8.808808808808805679e+00	7.848703020460881419e+01	1.636825817860300125e+00	0.000000000000000000e+00
1.258431493744435592e+01	7.007007007006933463e-01	9.984461496414391490e+01	1.588033454857388005e+00	0.000000000000000000e+00
1.756936878046131412e+01	2.082082082082082763e+01	5.041550051222979079e+01	1.021731631597102341e+00	0.000000000000000000e+00
1.331921815974931889e+01	4.204204204204202711e+00	9.498622488406731179e+01	1.498684476826552370e+00	0.000000000000000000e+00
1.677992112141086878e+01	2.102102102102108461e+00	9.918866607463532148e+01	1.200648561005269066e+00	0.000000000000000000e+00
1.430312269271060366e+01	3.703703703703709493e+00	9.680122270145230345e+01	1.395984541427089498e+00	0.000000000000000000e+00
1.846541087615037569e+01	2.352352352352352227e+01	5.081901058618497302e+01	1.090172984909826726e+00	0.000000000000000000e+00
1.282753697452244346e+01	2.802802802802801807e+00	9.761912673753887759e+01	1.555835697026998421e+00	0.000000000000000000e+00
1.761663976318182634e+01	1.611611611611613171e+01	6.498695249949906838e+01	1.071247739602169791e+00	0.000000000000000000e+00
1.732210060010004682e+01	1.871871871871873338e+01	5.519891775207908324e+01	1.068465478681192016e+00	0.000000000000000000e+00
1.454495593705806300e+01	1.551551551551551711e+01	5.980950321209218856e+01	1.382819794584500217e+00	0.000000000000000000e+00
1.321971014342726392e+01	1.391391391391391608e+01	5.304324411105767467e+01	1.507993076061500792e+00	0.000000000000000000e+00
1.872371381522858158e+01	1.011011011011009941e+01	8.614113753212990332e+01	1.031840033442485538e+00	0.000000000000000000e+00
1.718182236038910204e+01	2.402402402402401549e+00	9.902130397993043687e+01	1.164766024380652132e+00	0.000000000000000000e+00
1.593098711566712034e+01	1.351351351351351582e+01	6.753332805483337609e+01	1.230168618656033885e+00	0.000000000000000000e+00
1.392203121013993439e+01	2.352352352352352227e+01	3.005815109309361688e+01	1.438282995047101220e+00	0.000000000000000000e+00
1.579640523113385520e+01	6.606606606606604259e+00	9.184729431934840704e+01	1.270808306160974510e+00	0.000000000000000000e+00
1.849159734174834568e+01	2.772772772772772498e+01	4.343095263354408786e+01	8.656262785668356052e-01	0.000000000000000000e+00
1.507992799461632494e+01	8.208208208208219503e+00	8.556388162998858604e+01	1.321259702025159077e+00	0.000000000000000000e+00
1.587950765874597181e+01	4.104104104104109751e+00	9.662392777527578858e+01	1.258711541730409111e+00	0.000000000000000000e+00
2.221611224686973074e+01	3.903903903903909622e+00	9.850876544934949663e+01	8.555748122472552897e-01	0.000000000000000000e+00
1.247241765833518201e+01	3.403403403403402194e+00	9.613233362740240295e+01	1.606813496799391672e+00	0.000000000000000000e+00
1.148914038199490051e+01	8.008008008008005163e-01	9.977662688253457191e+01	1.743994347621291130e+00	0.000000000000000000e+00
