# Number of simulations: 100
# Multi compartment simulation; White noise sigma=7; narrow stimulus; gpas parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 12.597366 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
9.360628571842948754e-06	4.104104104104107842e-06	9.099458684542591413e+01	2.153242221576040727e+00	0.000000000000000000e+00
5.588261327613641843e-06	5.905905905905905334e-06	6.057525577073810297e+01	3.579023682938618833e+00	0.000000000000000000e+00
5.306787600604914162e-06	1.301301301301298189e-06	9.692394741146758008e+01	3.763659466327826664e+00	0.000000000000000000e+00
-4.133013947770034211e-06	7.007007007006990250e-07	9.858776487966242996e+01	4.833550913838120522e+00	0.000000000000000000e+00
5.071021710396281404e-08	5.071021710396281404e-08	5.071021710396281404e-08	5.071021710396281404e-08	5.071021710396281404e-08
1.013245638410041167e-05	9.409409409409414012e-06	6.094857700074657458e+01	1.959513098703361100e+00	0.000000000000000000e+00
1.040143965558094815e-05	5.905905905905905334e-06	8.339536324036180304e+01	1.939497118910425089e+00	0.000000000000000000e+00
6.661607467224545016e-06	5.505505505505505891e-06	6.887092006161913105e+01	3.001013171225937359e+00	0.000000000000000000e+00
8.430514781809465496e-06	5.605605605605605752e-06	8.133910265813281626e+01	2.386400257815017412e+00	0.000000000000000000e+00
7.430882307969547537e-06	4.204204204204194150e-06	8.363791898104749123e+01	2.705516989404457728e+00	0.000000000000000000e+00
1.208968482467577862e-05	5.305305305305306170e-06	9.148850419025052361e+01	1.652901785714286031e+00	0.000000000000000000e+00
9.036713058284679258e-06	1.261261261261262311e-05	4.413057027476370564e+01	2.231093702922567701e+00	0.000000000000000000e+00
7.824690654963160316e-06	3.903903903903908120e-06	8.739059290623825405e+01	2.566279674233234775e+00	0.000000000000000000e+00
8.263392264189645006e-06	2.702702702702709792e-06	9.503133063674182779e+01	2.422705709144445052e+00	0.000000000000000000e+00
9.971982458576383141e-06	1.201201201201199684e-05	4.172855160119921436e+01	2.005144868670458269e+00	0.000000000000000000e+00
1.020139684660168822e-05	7.007007007006854724e-07	9.972379709016043137e+01	1.983393598500067911e+00	0.000000000000000000e+00
6.956434756333507665e-06	1.501501501501500621e-05	1.594131200729215969e+01	2.875728155339806413e+00	0.000000000000000000e+00
1.385518859886405012e-05	1.341341341341340844e-05	5.946891778196074796e+01	1.400472813238769820e+00	0.000000000000000000e+00
9.431114501281360826e-06	5.605605605605605752e-06	8.503981729728006655e+01	2.119044212333668131e+00	0.000000000000000000e+00
5.349062556371953631e-06	8.008008008007988857e-07	9.872351975111331512e+01	3.738011105502270670e+00	0.000000000000000000e+00
4.793502743122450716e-06	8.308308308308301991e-06	2.813381337302766028e+01	4.177715091678421366e+00	0.000000000000000000e+00
8.264942229686992884e-06	2.402402402402396657e-06	9.595487647370072182e+01	2.403830546989125683e+00	0.000000000000000000e+00
8.947660676331318608e-06	3.303303303303308956e-06	9.294218896603918267e+01	2.236484445786772302e+00	0.000000000000000000e+00
4.153474469875866531e-06	5.605605605605605752e-06	4.423385302900796745e+01	4.808441558441562513e+00	0.000000000000000000e+00
9.679135200875912536e-06	4.704704704704707006e-06	8.883716247046545789e+01	2.036578657865787623e+00	0.000000000000000000e+00
4.875579711084058012e-06	2.702702702702696239e-06	8.512872419802002355e+01	4.105905184363740190e+00	0.000000000000000000e+00
1.134938729460855166e-05	8.608608608608588021e-06	7.127352451691074009e+01	1.772167045590524070e+00	0.000000000000000000e+00
5.674297877778522232e-06	8.008008008007988857e-07	9.892601890157101252e+01	3.528710984036215859e+00	0.000000000000000000e+00
9.566637672449507983e-06	1.321321321321320872e-05	3.142955244265013803e+01	2.080056179775281677e+00	0.000000000000000000e+00
6.087595144961299516e-06	7.807807807807802688e-06	3.903269725483483654e+01	3.270759717314488224e+00	0.000000000000000000e+00
8.483393738182359316e-06	8.508508508508515265e-06	5.582474029518179748e+01	2.364681462557880920e+00	0.000000000000000000e+00
7.358117564828457182e-06	1.381381381381382144e-05	1.000280827501334713e+01	2.730457227138644694e+00	0.000000000000000000e+00
1.276250191060146003e-05	3.503503503503481572e-06	9.610946160483683798e+01	1.573857598299681193e+00	0.000000000000000000e+00
8.302927643430723197e-06	3.303303303303308956e-06	9.287075029647566282e+01	2.391795865633074669e+00	0.000000000000000000e+00
7.037550563718630052e-06	1.001001001001012160e-06	9.898954610121720066e+01	2.847529321284370418e+00	0.000000000000000000e+00
9.525836434988360553e-06	4.704704704704707006e-06	8.908287609056466749e+01	2.079472058410559931e+00	0.000000000000000000e+00
6.686795621644579552e-06	1.931931931931932733e-05	4.542859409530306536e+00	2.996762444354513111e+00	0.000000000000000000e+00
6.766110155186501404e-06	6.206206206206204916e-06	6.838155200655104693e+01	2.962592518503700312e+00	0.000000000000000000e+00
