# Number of simulations: 50
# One compartment simulation; Exp colored noise sigma=3; both stimulus; cm parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 68.899253 minutes
# sigma	diff	accuracy	sharper	sigma_err
5.827343613666951389e-02	1.801801801801805603e-02	9.567410621477948496e+01	3.424277456647397244e+00	0.000000000000000000e+00
6.635781574861795984e-02	5.505505505505525754e-02	6.976073143285397293e+01	3.005275974025971575e+00	0.000000000000000000e+00
3.354089490802168033e-02	2.802802802802806248e-02	7.213779009064673176e+01	5.940633774568794934e+00	0.000000000000000000e+00
4.132081560358546318e-02	2.302302302302305925e-02	8.485717213884133514e+01	4.820963541666666963e+00	0.000000000000000000e+00
1.300344010066696652e-04	1.300344010066696652e-04	1.300344010066696652e-04	1.300344010066696652e-04	1.300344010066696652e-04
3.368380160051522021e-02	6.806806806806808829e-02	1.649440939956600616e+01	5.905103668261566519e+00	0.000000000000000000e+00
3.086775919578448046e-02	9.509509509509517233e-02	1.939772795097392200e+00	6.447540269917285016e+00	0.000000000000000000e+00
-1.444270758354566399e-02	2.002002002002001291e-02	4.072615029793659147e+01	1.372567191844300183e+01	0.000000000000000000e+00
5.593210401321531411e-02	5.005005005005003227e-03	9.963022729229786023e+01	3.566096797495785786e+00	0.000000000000000000e+00
2.921127474850035780e-02	3.903903903903893635e-02	3.888780741253383866e+01	6.806066176470586093e+00	0.000000000000000000e+00
4.190065908550781593e-02	5.405405405405394603e-02	4.016979105806402828e+01	4.751363490535773337e+00	0.000000000000000000e+00
8.283758465195163734e-02	5.405405405405394603e-02	8.159437850887933052e+01	2.405782975958412173e+00	0.000000000000000000e+00
4.695930220053870507e-02	1.101101101101100710e-01	9.761026399253699637e+00	4.241122565864829497e+00	0.000000000000000000e+00
5.936577946898299873e-02	1.001001001000867419e-03	9.997427721524107369e+01	3.357515302652457567e+00	0.000000000000000000e+00
-4.180268469946695625e-02	6.006006006006092690e-03	9.903703464775080079e+01	4.771262886597940067e+00	0.000000000000000000e+00
-3.757350547856205814e-02	1.201201201201207436e-02	9.476741042270123216e+01	5.293066476054325342e+00	0.000000000000000000e+00
5.403720301567813827e-02	3.103103103103110882e-02	8.405159878299389220e+01	3.696031944097830202e+00	0.000000000000000000e+00
5.998228498991971247e-02	9.609609609609615077e-02	2.309392644654410631e+01	3.322862912272825042e+00	0.000000000000000000e+00
6.772870547581645584e-02	1.931931931931931690e-01	5.144128631779008032e-01	2.941410129096322379e+00	0.000000000000000000e+00
4.700073162501447466e-02	5.005005005005003227e-03	9.937305123882896396e+01	4.237482117310443108e+00	0.000000000000000000e+00
2.305263334886176879e-02	4.704704704704698592e-02	1.528734731846245154e+01	8.650700934579438339e+00	0.000000000000000000e+00
4.484138205771920349e-02	1.031031031031031109e-01	1.080725012452715639e+01	4.447447447447439473e+00	0.000000000000000000e+00
7.217647887590677991e-02	1.881881881881881657e-01	1.533188935331976310e+00	2.760999254287842319e+00	0.000000000000000000e+00
6.624559350949953129e-02	2.122122122122120924e-01	1.017402508145513196e-01	3.012611879576891472e+00	0.000000000000000000e+00
4.746250896273696701e-02	6.406406406406395249e-02	3.666046003713421442e+01	4.199036007938757642e+00	0.000000000000000000e+00
-2.137448443912275120e-02	2.102102102102099135e-02	6.483875525161975872e+01	9.285266457680251051e+00	0.000000000000000000e+00
3.970300968527615271e-02	8.008008008008005163e-02	1.696503809115916539e+01	5.018637749915281887e+00	0.000000000000000000e+00
-2.882589507059358375e-02	1.201201201201196334e-02	9.168641572801308826e+01	6.910872608492764968e+00	0.000000000000000000e+00
8.557724101087108015e-02	2.032032032032031754e-01	2.794604277327062736e+00	2.333018273471956228e+00	0.000000000000000000e+00
-3.591075511040066337e-02	1.301301301301305280e-02	9.358053429594838235e+01	5.546816479400750843e+00	0.000000000000000000e+00
