# Number of simulations: 50
# One compartment simulation; Exp colored noise sigma=3; both stimulus; gpas parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 68.899253 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
3.743204073853881909e-06	2.202202202202196936e-06	8.420480613807851000e+01	5.321595400646783602e+00	0.000000000000000000e+00
2.655715798950056894e-06	4.904904904904906727e-06	2.213372831357991188e+01	7.491148204350025708e+00	0.000000000000000000e+00
-2.139038629838486833e-06	9.009009009008987464e-07	9.132999220578729194e+01	9.314465408805029156e+00	0.000000000000000000e+00
-2.441863867731558826e-06	2.002002002001997214e-07	9.957745980039895528e+01	8.150798018712162474e+00	0.000000000000000000e+00
7.766430048645679151e-09	7.766430048645679151e-09	7.766430048645679151e-09	7.766430048645679151e-09	7.766430048645679151e-09
3.549411846391636103e-06	2.302302302302296796e-06	8.075585593631099357e+01	5.609848484848482641e+00	0.000000000000000000e+00
3.153029959608016841e-06	2.802802802802796100e-06	6.677940037819642782e+01	6.318259385665528249e+00	0.000000000000000000e+00
-1.243852755655014918e-06	2.202202202202196936e-06	2.296033015768403729e+01	1.585653104925055423e+01	0.000000000000000000e+00
-3.142950207768966711e-06	1.101101101101098468e-06	9.381633686672819294e+01	6.331765711842670008e+00	0.000000000000000000e+00
-3.583320588879077259e-06	1.301301301301311742e-06	9.402923101605769318e+01	5.553055868016497421e+00	0.000000000000000000e+00
-3.648419509354144073e-06	0.000000000000000000e+00	1.000000000000000000e+02	5.456890198968315175e+00	0.000000000000000000e+00
2.478820214036824909e-06	4.404404404404393871e-06	1.806494325846132654e+01	8.018408229561449829e+00	0.000000000000000000e+00
-2.075754016688014527e-06	1.001001001000998607e-07	9.989442069613981801e+01	9.579560155239331465e+00	0.000000000000000000e+00
-2.280517264138985788e-06	1.601601601601597771e-06	7.844146751816263929e+01	8.727165586328812452e+00	0.000000000000000000e+00
3.296565103159319336e-06	6.706706706706717772e-06	1.568969317564583577e+01	6.047366271947735683e+00	0.000000000000000000e+00
2.904649500870153234e-06	7.107107107107103663e-06	7.597316523449269887e+00	6.843807763401112965e+00	0.000000000000000000e+00
-4.092279695524500072e-06	2.002002002002010767e-06	8.924905488907755569e+01	4.873313589996710604e+00	0.000000000000000000e+00
-2.715521625702592731e-06	2.602602602602609931e-06	6.512139369615013607e+01	7.320810677212060469e+00	0.000000000000000000e+00
3.836814343517394288e-06	4.404404404404393871e-06	5.460703681615085259e+01	5.191026989134243763e+00	0.000000000000000000e+00
3.153365766341884381e-06	5.105105105105092896e-06	2.383652875236779423e+01	6.312872975277063148e+00	0.000000000000000000e+00
-4.453059255231380480e-06	6.006006006005991642e-07	9.919829148649745321e+01	4.466224366706878612e+00	0.000000000000000000e+00
-2.961727243444775085e-06	1.401401401401398050e-06	9.023613087892353235e+01	6.710466696873585768e+00	0.000000000000000000e+00
-2.145538953930047888e-06	2.002002002002010767e-06	6.678582085093096055e+01	9.267834793491866563e+00	0.000000000000000000e+00
3.439787406936819213e-06	8.108108108108102270e-06	9.315660208007773946e+00	5.782897305739947313e+00	0.000000000000000000e+00
5.048882560553023899e-06	6.506506506506504499e-06	4.097884580065166915e+01	3.944074567243675666e+00	0.000000000000000000e+00
5.142151287121868223e-06	1.601601601601624876e-06	9.526560891971833200e+01	3.866840731070493309e+00	0.000000000000000000e+00
2.565918363045015229e-06	5.005005005005006588e-06	1.848188890148538732e+01	7.749869178440605744e+00	0.000000000000000000e+00
-2.344938100866305404e-06	1.801801801801797493e-06	7.333532792783547904e+01	8.462857142857140857e+00	0.000000000000000000e+00
4.378702851232590555e-06	3.403403403403422369e-06	7.528883169063554703e+01	4.545733578882750869e+00	0.000000000000000000e+00
-3.691721245068246334e-06	2.002002002001997214e-07	9.984075835363205442e+01	5.391336002912267666e+00	0.000000000000000000e+00
-3.397022164554835991e-06	2.302302302302310349e-06	8.077567733501528835e+01	5.865346534653465227e+00	0.000000000000000000e+00
3.019971326561068962e-06	4.904904904904906727e-06	2.972478571148308291e+01	6.593944790739092454e+00	0.000000000000000000e+00
2.115241621366729463e-06	4.604604604604607145e-06	1.226949687916412834e+01	9.415130324221237856e+00	0.000000000000000000e+00
2.587485852828322550e-06	3.503503503503508677e-06	4.361676059146017792e+01	7.689511941848395260e+00	0.000000000000000000e+00
-2.506495401313618817e-06	6.006006006005991642e-07	9.703064378440834048e+01	7.958087049973130434e+00	0.000000000000000000e+00
-3.528774731051245409e-06	1.001001001000998607e-07	9.992728924242551614e+01	5.639756283320638275e+00	0.000000000000000000e+00
3.787494680141846598e-06	4.904904904904906727e-06	4.068198246934336737e+01	5.255500354861605494e+00	0.000000000000000000e+00
1.962158949346958765e-06	2.902902902902909513e-06	3.656235550261979483e+01	1.011612021857923516e+01	0.000000000000000000e+00
3.784914746054332385e-06	7.807807807807802688e-06	9.332953286887359923e+00	5.253636041149348124e+00	0.000000000000000000e+00
5.575310811179628739e-06	3.903903903903881015e-06	7.745798700687073790e+01	3.573841698841698555e+00	0.000000000000000000e+00
1.860850249245371145e-06	3.103103103103109234e-06	2.744849482986253975e+01	1.068542568542569349e+01	0.000000000000000000e+00
4.533230553925589578e-06	2.302302302302283244e-06	8.792165994614047975e+01	4.392052194543299315e+00	0.000000000000000000e+00
-2.421614042990406973e-06	3.003003003002995821e-07	9.947491391538024175e+01	8.218645948945619395e+00	0.000000000000000000e+00
3.389567532478507207e-06	4.204204204204207702e-06	4.403615698986948956e+01	5.869996036464526945e+00	0.000000000000000000e+00
-2.392084164384013484e-06	2.002002002001997214e-07	9.971256348189676544e+01	8.292273236282197146e+00	0.000000000000000000e+00
2.880200645013206600e-06	3.003003003002995821e-06	5.656784903428305711e+01	6.910872608492765856e+00	0.000000000000000000e+00
2.833409263852801333e-06	3.403403403403408817e-06	5.194749370325606463e+01	7.038973384030419389e+00	0.000000000000000000e+00
-6.364221082728154430e-07	7.007007007007058012e-07	6.132215898595769943e+01	2.598245614035087314e+01	0.000000000000000000e+00
-2.053695536321508964e-06	1.001001001001012160e-06	9.008181332139949404e+01	9.667101827676241044e+00	0.000000000000000000e+00
-2.711015857390910144e-06	2.202202202202210488e-06	7.255795807934880770e+01	7.338949454905847603e+00	0.000000000000000000e+00
