# Number of simulations: 50
# One compartment simulation; Exp colored noise sigma=3; broad stimulus; cm parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 42.869720 minutes
# sigma	diff	accuracy	sharper	sigma_err
9.911897075066918028e-02	1.801801801801805603e-02	9.837809233665922193e+01	2.006231373611488067e+00	0.000000000000000000e+00
1.301795845075067182e-01	1.871871871871872983e-01	3.279156810220597862e+01	1.509530119253899239e+00	0.000000000000000000e+00
-8.217078510943284786e-02	5.005005005005005447e-01	1.221872375543274547e+00	5.073655361425140065e+00	0.000000000000000000e+00
1.330896103569430000e-01	1.981981981981981722e-01	4.162023016931253494e+01	1.512150296099653790e+00	0.000000000000000000e+00
9.569736310759627143e-04	9.569736310759627143e-04	9.569736310759627143e-04	9.569736310759627143e-04	9.569736310759627143e-04
8.876807068949500723e-02	6.206206206206199560e-02	7.925395653837333043e+01	2.238512696493347498e+00	0.000000000000000000e+00
1.252364874713316478e-01	8.908908908908907964e-02	7.532829096693058091e+01	1.594874003876804336e+00	0.000000000000000000e+00
1.415789310556104796e-01	3.303303303303306571e-02	9.739024816578518084e+01	1.404723513231528553e+00	0.000000000000000000e+00
3.901489505711192018e-02	1.181181181181181206e-01	1.561449045006565894e+00	5.096352374397796758e+00	0.000000000000000000e+00
9.063803805452667894e-02	1.031031031031031109e-01	4.994534785805820576e+01	2.193749074211228223e+00	0.000000000000000000e+00
1.139562683016376726e-01	1.371371371371371550e-01	4.202892912525849312e+01	1.748111425873465352e+00	0.000000000000000000e+00
-1.103556696923221198e-01	5.005005005005005447e-01	4.082550566951249849e+00	3.100272137324681321e+00	0.000000000000000000e+00
9.666970257493116836e-02	1.611611611611611927e-01	3.140557447384118106e+01	2.060951850821041376e+00	0.000000000000000000e+00
1.250788003961921524e-01	5.705705705705699238e-02	8.953580909517026498e+01	1.595389421523214724e+00	0.000000000000000000e+00
1.140411129338453344e-01	1.541541541541540106e-01	4.400850158946314394e+01	1.742352941176471992e+00	0.000000000000000000e+00
1.250875310585130296e-01	5.405405405405405705e-02	9.041498827872425181e+01	1.599006694018571206e+00	0.000000000000000000e+00
1.149251111714724854e-01	2.292292292292292810e-01	8.624455458428039734e+00	1.700734956361966699e+00	0.000000000000000000e+00
1.400499730868853543e-01	1.401401401401400904e-01	6.501260559708254050e+01	1.435216590754918808e+00	0.000000000000000000e+00
1.505871274378970115e-01	4.404404404404416162e-02	9.571662269496923159e+01	1.316327437561104707e+00	0.000000000000000000e+00
1.855666150410935078e-01	2.602602602602610560e-02	9.906366732812325893e+01	1.058840351755200304e+00	0.000000000000000000e+00
1.461846243427159520e-01	1.721721721721722886e-01	4.513889209091648524e+01	1.323266619013581780e+00	0.000000000000000000e+00
1.248607965050991253e-01	1.701701701701707758e-02	9.908216751227648444e+01	1.597971514889944267e+00	0.000000000000000000e+00
1.237078645792754200e-01	2.082082082082081786e-01	2.156626288467949593e+01	1.585653104925051959e+00	0.000000000000000000e+00
