# Number of simulations: 50
# One compartment simulation; Exp colored noise sigma=3; broad stimulus; gpas parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 39.784109 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
4.338839589171853037e-06	8.008008008008124382e-07	9.834178900994702133e+01	4.595097735029477271e+00	0.000000000000000000e+00
4.562300060552459594e-06	8.308308308308301991e-06	1.491691693669123175e+01	4.362297496318115364e+00	0.000000000000000000e+00
2.391006213808882207e-06	1.001001001000998607e-07	9.990201872549900486e+01	8.329583802024750128e+00	0.000000000000000000e+00
2.832489952797769894e-06	2.202202202202196936e-06	7.418198967119897702e+01	7.005676442762537981e+00	0.000000000000000000e+00
1.086169376230045768e-08	1.086169376230045768e-08	1.086169376230045768e-08	1.086169376230045768e-08	1.086169376230045768e-08
2.021455141700280942e-06	2.602602602602596378e-06	4.276057608088897410e+01	9.866755496335780862e+00	0.000000000000000000e+00
3.077995386425213926e-06	2.602602602602596378e-06	7.141906300801178986e+01	6.467248908296943988e+00	0.000000000000000000e+00
3.469217165127716553e-06	1.601601601601597771e-06	8.941364763697168883e+01	5.731424148606815372e+00	0.000000000000000000e+00
1.829880927481669520e-06	2.502502502502496518e-06	4.232138776457814799e+01	1.087371512481645475e+01	0.000000000000000000e+00
3.518753812937810570e-06	9.309309309309327703e-06	5.170398267325623465e+00	5.665646518745218962e+00	0.000000000000000000e+00
5.087233339491756090e-06	1.201201201201198328e-06	9.731735171179961696e+01	3.913847780126851639e+00	0.000000000000000000e+00
3.744287740679198749e-06	8.308308308308315544e-06	5.649613145471599651e+00	5.315865039483132826e+00	0.000000000000000000e+00
9.862086603620376024e-07	1.501501501501504687e-06	3.671840573700693966e+01	2.037138927097665686e+01	0.000000000000000000e+00
