# Number of simulations: 50
# One compartment simulation; Exp colored noise sigma=3; narrow stimulus; cm parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 6.909662 minutes
# sigma	diff	accuracy	sharper	sigma_err
8.146153862176047644e-02	1.101101101101109592e-02	9.906771289635545941e+01	2.454424925422605597e+00	0.000000000000000000e+00
-3.391675953155113415e-02	1.001001001001000645e-02	9.604779898615205980e+01	5.874652915509718909e+00	0.000000000000000000e+00
7.861913597875901105e-02	3.003003003003046345e-03	9.992890077524251069e+01	2.543799381655789116e+00	0.000000000000000000e+00
6.896592517876459771e-02	6.306306306306308507e-02	6.340803059833676514e+01	2.897671688514966704e+00	0.000000000000000000e+00
2.192510318993942913e-04	2.192510318993942913e-04	2.192510318993942913e-04	2.192510318993942913e-04	2.192510318993942913e-04
-2.273098013393761926e-02	6.006006006005981668e-03	9.694172242899507808e+01	8.758131283264344091e+00	0.000000000000000000e+00
3.068941877736362442e-02	2.702702702702697302e-02	6.703398925153433652e+01	6.484238178633979999e+00	0.000000000000000000e+00
-4.446696239694540587e-02	8.008008008008049572e-03	9.834824659189091278e+01	4.485160508782557898e+00	0.000000000000000000e+00
8.614214270602184309e-02	1.101101101101087387e-02	9.917261038635521686e+01	2.322408656107886049e+00	0.000000000000000000e+00
4.836622367674719286e-02	6.006006006006092690e-03	9.928153831472246793e+01	4.120756816917082510e+00	0.000000000000000000e+00
6.326017985617200801e-02	6.906906906906917776e-02	5.151350430691442739e+01	3.157782515991471861e+00	0.000000000000000000e+00
2.751400473277428732e-02	3.403403403403393312e-02	4.970826702766746052e+01	7.238514173998050083e+00	0.000000000000000000e+00
2.343283872630852818e-02	6.006006006006003872e-02	5.985106023783442808e+00	8.487106017191978324e+00	0.000000000000000000e+00
4.995044732297839601e-02	4.604604604604611851e-02	6.386719351130533084e+01	3.991913746630730397e+00	0.000000000000000000e+00
-4.181925993826975801e-02	1.301301301301305280e-02	9.522669255655323184e+01	4.771262886597936514e+00	0.000000000000000000e+00
