# Number of simulations: 50
# One compartment simulation; Exp colored noise sigma=3; narrow stimulus; gpas parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 6.909662 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
8.153161361159344737e-06	1.451451451451452046e-05	2.828316198749316612e+01	2.470391993327773594e+00	0.000000000000000000e+00
7.630058674579277177e-06	6.106106106106105056e-06	7.435126889194266653e+01	2.613836921990823292e+00	0.000000000000000000e+00
1.226488710855435799e-05	1.401401401401402116e-05	5.657046378164663736e+01	1.635741108902143859e+00	0.000000000000000000e+00
1.115598659677008813e-05	1.201201201201198328e-06	9.938335806354339752e+01	1.794281560455536662e+00	0.000000000000000000e+00
6.193725723778938557e-08	6.193725723778938557e-08	6.193725723778938557e-08	6.193725723778938557e-08	6.193725723778938557e-08
7.719880498498219451e-06	1.591591591591591851e-05	1.518287786427709918e+01	2.577445179255133834e+00	0.000000000000000000e+00
7.381157971581360910e-06	5.605605605605605752e-06	7.630457548219071384e+01	2.699106980134864830e+00	0.000000000000000000e+00
7.607059607867824313e-06	6.706706706706704220e-06	6.574545785732426850e+01	2.622167138810199916e+00	0.000000000000000000e+00
-8.483459544193366569e-06	2.532532532532533252e-05	4.387373044280855616e+00	2.363926576217080022e+00	0.000000000000000000e+00
1.028711238029989515e-05	1.381381381381380788e-05	3.520117699939713418e+01	1.937213865271419699e+00	0.000000000000000000e+00
1.544821326446099388e-05	1.271271271271269586e-05	6.975597541167832105e+01	1.267436884895165594e+00	0.000000000000000000e+00
4.684746325226037970e-06	8.008008008007988857e-07	9.866492821526955481e+01	4.248422260470452905e+00	0.000000000000000000e+00
7.042993687652955489e-06	1.101101101101112020e-06	9.879097255102013264e+01	2.827415043909891068e+00	0.000000000000000000e+00
7.444294391590030139e-06	1.401401401401411602e-06	9.831228696470334683e+01	2.683457148034063877e+00	0.000000000000000000e+00
9.348990442379838831e-06	8.308308308308315544e-06	6.505288557068567457e+01	2.134005763688759938e+00	0.000000000000000000e+00
