# Number of simulations: 100
# One compartment simulation; White noise sigma=7; both stimulus; cm parameter; dt=0.1
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 32.466162 minutes
# sigma	diff	accuracy	sharper	sigma_err
4.248443495828223282e-02	4.904904904904894281e-02	4.966638971747211428e+01	4.679304897314376710e+00	0.000000000000000000e+00
5.057962714069987042e-02	7.507507507507504840e-02	3.613696718941697128e+01	3.934643995749201650e+00	0.000000000000000000e+00
6.405147961189038008e-02	1.301301301301305280e-02	9.810136742543640764e+01	3.102870312172637313e+00	0.000000000000000000e+00
4.555835124317596935e-02	1.201201201201218538e-02	9.635759748457378748e+01	4.362297496318113588e+00	0.000000000000000000e+00
1.428721087122208357e-04	1.428721087122208357e-04	1.428721087122208357e-04	1.428721087122208357e-04	1.428721087122208357e-04
4.057255158507876852e-02	2.202202202202208081e-02	8.636694995577632028e+01	4.903973509933774011e+00	0.000000000000000000e+00
5.217478990335717992e-02	5.705705705705721442e-02	5.331300293136773405e+01	3.813079299691042312e+00	0.000000000000000000e+00
3.685260860484475959e-02	2.402402402402403769e-02	8.116003224904481783e+01	5.403137541043413705e+00	0.000000000000000000e+00
-2.950130823215286330e-02	3.003003003003046345e-03	9.964572083825530058e+01	6.728759654702403559e+00	0.000000000000000000e+00
-3.292315304079525273e-02	1.501501501501500968e-02	9.032960261052198803e+01	6.037505095801063426e+00	0.000000000000000000e+00
4.304449832416639560e-02	2.202202202202196979e-02	8.857348631236747849e+01	4.616583541147135428e+00	0.000000000000000000e+00
4.301930726183755826e-02	2.902902902902892990e-02	7.983807219537075639e+01	4.619463505926385771e+00	0.000000000000000000e+00
5.184716259274013000e-02	6.806806806806808829e-02	4.119636922647546129e+01	3.829842254978015337e+00	0.000000000000000000e+00
4.164075248980837057e-02	2.402402402402392667e-02	8.488067914389856128e+01	4.772800515630034823e+00	0.000000000000000000e+00
-4.039762455369234201e-02	1.401401401401414226e-02	9.456606151275347827e+01	4.920265780730893823e+00	0.000000000000000000e+00
7.736716717396099896e-02	9.609609609609615077e-02	4.393944233462826787e+01	2.571180555555553582e+00	0.000000000000000000e+00
3.282973708568149435e-02	5.405405405405394603e-02	2.851107244757035275e+01	6.062218583708561148e+00	0.000000000000000000e+00
4.281520837927179496e-02	2.502502502502501613e-02	8.486894212003522853e+01	4.644089056130450643e+00	0.000000000000000000e+00
4.365042300166407929e-02	4.004004004003991479e-02	6.467260537912555662e+01	4.558325638658050849e+00	0.000000000000000000e+00
2.739244657989348478e-02	2.702702702702708404e-02	6.286321579420258843e+01	7.245596868884539354e+00	0.000000000000000000e+00
4.546225292689496517e-02	4.404404404404393958e-02	6.147263769427470947e+01	4.380360839988170163e+00	0.000000000000000000e+00
3.077841574190164076e-02	8.208208208208200851e-02	4.234348993905993730e+00	6.453159041394336271e+00	0.000000000000000000e+00
3.384445360168692601e-02	2.502502502502501613e-02	7.600900477876569994e+01	5.867670364500789937e+00	0.000000000000000000e+00
-4.078180871747695557e-02	2.002002002002067904e-03	9.987178681007206649e+01	4.879736408566720307e+00	0.000000000000000000e+00
