# Number of simulations: 100
# One compartment simulation; White noise sigma=7; both stimulus; gpas parameter; dt=0.1
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 32.466162 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
-1.300636077804088154e-06	1.201201201201198328e-06	6.751325959027050772e+01	1.514314928425360840e+01	0.000000000000000000e+00
-1.677776893604148776e-06	1.901901901901897353e-06	5.525561812814411411e+01	1.180079681274900949e+01	0.000000000000000000e+00
-1.994905905259068292e-06	3.003003003003131346e-07	9.925660826574957696e+01	9.959650302622733875e+00	0.000000000000000000e+00
-1.194253676632690873e-06	6.006006006006127168e-07	8.825637093791497989e+01	1.662177328843994673e+01	0.000000000000000000e+00
2.725263568566766214e-09	2.725263568566766214e-09	2.725263568566766214e-09	2.725263568566766214e-09	2.725263568566766214e-09
-1.965304968098861740e-06	1.901901901901883801e-06	6.110282678179458316e+01	1.010231923601637227e+01	0.000000000000000000e+00
-1.692782756501998563e-06	9.009009009009122989e-07	8.723567598295571202e+01	1.170750988142292925e+01	0.000000000000000000e+00
-1.405089799061248796e-06	1.201201201201198328e-06	7.095905770963267400e+01	1.407794676806086542e+01	0.000000000000000000e+00
-4.270611642297062836e-07	6.006006006005991642e-07	5.104457401080830437e+01	3.568674698795190636e+01	0.000000000000000000e+00
-1.167720912385300997e-06	6.006006006005991642e-07	8.755296834022814778e+01	1.708189158016147502e+01	0.000000000000000000e+00
-8.126404882037867829e-07	1.201201201201198328e-06	4.178549948583724927e+01	2.200594353640416401e+01	0.000000000000000000e+00
-9.629602390803264720e-07	4.004004004003994428e-07	9.224713045580760706e+01	2.051246537396116665e+01	0.000000000000000000e+00
-9.604379541286155796e-07	1.401401401401398050e-06	3.552918699684274628e+01	2.088857545839215391e+01	0.000000000000000000e+00
-1.092278035494568512e-06	7.007007007007125775e-07	8.032431742869728453e+01	1.806097560975607408e+01	0.000000000000000000e+00
-8.220488898684252133e-07	1.201201201201198328e-06	4.376880474426759804e+01	2.174743024963289528e+01	0.000000000000000000e+00
-2.115975541807917651e-06	9.009009009008851938e-07	9.035286098367652130e+01	9.373417721518991996e+00	0.000000000000000000e+00
-1.214511993592449324e-06	5.005005005004993035e-07	8.970717234735430168e+01	1.640088593576966858e+01	0.000000000000000000e+00
-1.238441663189185141e-06	8.008008008007988857e-07	8.169149377445759797e+01	1.595905172413794304e+01	0.000000000000000000e+00
-1.497173524965842795e-06	8.008008008007988857e-07	8.552019833845616859e+01	1.325872873769025162e+01	0.000000000000000000e+00
-6.247321056623616817e-07	4.004004004003994428e-07	8.308724775871262125e+01	3.098326359832644172e+01	0.000000000000000000e+00
-1.441620741907612799e-06	2.302302302302296796e-06	2.675687549588148073e+01	1.371296296296296191e+01	0.000000000000000000e+00
-1.057903788866170221e-06	1.601601601601611324e-06	3.296403491013947473e+01	1.874683544303803018e+01	0.000000000000000000e+00
8.043470778859447515e-07	2.302302302302310349e-06	1.648511630746173129e+00	2.247344461305012686e+01	0.000000000000000000e+00
-1.567856018014223767e-06	1.201201201201211881e-06	7.471717351065103685e+01	1.267979452054794720e+01	0.000000000000000000e+00
-6.879784568015861434e-07	4.004004004004129954e-07	8.809637334811183962e+01	2.820952380952374483e+01	0.000000000000000000e+00
-1.040825626473468176e-06	2.302302302302296796e-06	7.669117058810641652e+00	1.867591424968472680e+01	0.000000000000000000e+00
-1.466078074008102199e-06	4.004004004004129954e-07	9.718087125007545524e+01	1.354986276303750792e+01	0.000000000000000000e+00
8.824982883739192581e-07	0.000000000000000000e+00	1.000000000000000000e+02	2.056944444444440379e+01	0.000000000000000000e+00
-1.942256620406302432e-06	7.007007007007125775e-07	9.398894873193381727e+01	1.023496890117484881e+01	0.000000000000000000e+00
-1.480118357686118304e-06	8.008008008007988857e-07	8.616241951933301380e+01	1.337850045167119717e+01	0.000000000000000000e+00
1.666220502464339513e-06	3.303303303303308956e-06	1.327087862116674621e+01	1.191472244569589733e+01	0.000000000000000000e+00
-1.960337498302917160e-06	5.005005005005128561e-07	9.681191489915912030e+01	1.014383561643835741e+01	0.000000000000000000e+00
1.493889980729920344e-06	3.103103103103109234e-06	1.013726342931906110e+01	1.323503127792671208e+01	0.000000000000000000e+00
1.646314873129021194e-06	2.902902902902895961e-06	1.940072797248018688e+01	1.204065040650406182e+01	0.000000000000000000e+00
1.839263901803800951e-06	2.802802802802809652e-06	3.355579086401785105e+01	1.079446064139941264e+01	0.000000000000000000e+00
-1.447560012171808262e-06	4.004004004003994428e-07	9.726639010582498202e+01	1.367497691597414011e+01	0.000000000000000000e+00
-7.479401996395705371e-07	1.201201201201198328e-06	4.197470158462458301e+01	2.321316614420068802e+01	0.000000000000000000e+00
5.308816788109524129e-07	3.003003003002995821e-07	9.521392634043102987e+01	2.602811950790854212e+01	0.000000000000000000e+00
-1.268724214212703083e-06	2.202202202202196936e-06	2.119355522402711145e+01	1.545929018789143505e+01	0.000000000000000000e+00
-1.100104952096052505e-06	2.402402402402396657e-06	8.204810312991954291e+00	1.812729498164012654e+01	0.000000000000000000e+00
-1.625148639636409791e-06	2.302302302302310349e-06	3.894675474276803584e+01	1.222956234516929186e+01	0.000000000000000000e+00
-1.452219908666431600e-06	1.301301301301311742e-06	6.918539830027251014e+01	1.366236162361624018e+01	0.000000000000000000e+00
8.516544237285439268e-07	2.002002002001997214e-07	9.813748046080846166e+01	2.137085137085132303e+01	0.000000000000000000e+00
-1.180827632084607639e-06	1.501501501501497911e-06	4.645892217939548630e+01	1.686788154897498160e+01	0.000000000000000000e+00
-1.481829472210543293e-06	8.008008008007988857e-07	8.595631918641915092e+01	1.336642599277979393e+01	0.000000000000000000e+00
-2.379840741129564643e-06	3.003003003002860296e-07	9.910788228728007709e+01	8.353073886068816734e+00	0.000000000000000000e+00
-7.121536775245920998e-07	4.004004004003994428e-07	8.640940994329335467e+01	2.773408239700378530e+01	0.000000000000000000e+00
-8.815961244231393073e-07	7.007007007006990250e-07	6.945985057720579903e+01	2.217065868263475892e+01	0.000000000000000000e+00
-1.545646997089670070e-06	1.001001001000998607e-07	9.992022856798104158e+01	1.280034572169402907e+01	0.000000000000000000e+00
6.536779246440205912e-07	4.004004004003994428e-07	8.347279729622515276e+01	2.848076923076912692e+01	0.000000000000000000e+00
-1.870845094117684685e-06	5.005005005005128561e-07	9.626540854190072594e+01	1.063173007896626743e+01	0.000000000000000000e+00
-1.720195230537145857e-06	6.006006006005991642e-07	9.447568717925278747e+01	1.156128024980484525e+01	0.000000000000000000e+00
-1.247173012019526476e-06	0.000000000000000000e+00	1.000000000000000000e+02	1.572186836518045716e+01	0.000000000000000000e+00
-1.368428747511846220e-06	2.002002002002010767e-06	3.620705829025632028e+01	1.442064264849075705e+01	0.000000000000000000e+00
-2.516310439495799104e-06	4.004004004004265479e-07	9.872722214139379560e+01	7.894456289978679209e+00	0.000000000000000000e+00
-1.477441437176694142e-06	1.501501501501497911e-06	5.760766566009517220e+01	1.345140781108085015e+01	0.000000000000000000e+00
-6.395116580662838415e-07	1.201201201201198328e-06	3.721536378192654126e+01	2.388709677419356936e+01	0.000000000000000000e+00
1.514287539585244771e-06	3.103103103103109234e-06	1.113103535467408634e+01	1.308303886925794401e+01	0.000000000000000000e+00
-9.775401736301672037e-07	6.006006006005991642e-07	8.006203474884429738e+01	2.012228260869568786e+01	0.000000000000000000e+00
-2.708952807071907419e-06	5.005005005005128561e-07	9.816608056867576693e+01	7.320810677212062245e+00	0.000000000000000000e+00
-1.379107689003495599e-06	9.009009009008987464e-07	8.265970710094036633e+01	1.430917874396135403e+01	0.000000000000000000e+00
-1.175001450801728906e-06	1.701701701701711185e-06	3.493196473814605696e+01	1.679138321995468175e+01	0.000000000000000000e+00
-1.096204680552408013e-06	2.002002002001997214e-06	2.002179135464544757e+01	1.752662721893495146e+01	0.000000000000000000e+00
6.967234459837937859e-07	2.002002002002132739e-07	9.644243124413821988e+01	2.510169491525414998e+01	0.000000000000000000e+00
7.529086255694226354e-07	3.003003003002995821e-07	9.555867555869156149e+01	2.443894389438937864e+01	0.000000000000000000e+00
-1.183390847096653989e-06	7.007007007006990250e-07	8.288730623134917153e+01	1.654748603351955438e+01	0.000000000000000000e+00
2.279443229681904875e-06	3.803803803803821812e-06	2.737531546120106185e+01	8.727165586328821334e+00	0.000000000000000000e+00
-1.107150715443921296e-06	6.006006006005991642e-07	8.685655970061256426e+01	1.803897685749086932e+01	0.000000000000000000e+00
-1.233860618418020319e-06	2.702702702702709792e-06	1.031582743147822079e+01	1.611534276387376963e+01	0.000000000000000000e+00
-1.664446484841435498e-06	1.201201201201198328e-06	7.702266535339391851e+01	1.194354838709677402e+01	0.000000000000000000e+00
-1.720874534102690317e-06	1.401401401401411602e-06	7.451353037634105192e+01	1.154325798908808665e+01	0.000000000000000000e+00
-1.214662170869218205e-06	7.007007007007125775e-07	8.270193487339322758e+01	1.627472527472525954e+01	0.000000000000000000e+00
-2.243985520655900406e-06	0.000000000000000000e+00	1.000000000000000000e+02	8.841791044776122988e+00	0.000000000000000000e+00
-2.364740846235687906e-06	1.601601601601624876e-06	8.024943973183719947e+01	8.409994321408289508e+00	0.000000000000000000e+00
-1.042173664781204429e-06	1.001001001001012160e-06	6.561668637104216373e+01	1.842039800995026155e+01	0.000000000000000000e+00
-1.227154945475463328e-06	1.101101101101098468e-06	6.817305228102013359e+01	1.592473118279573008e+01	0.000000000000000000e+00
-9.567477041399189607e-07	1.101101101101098468e-06	6.002782335321392537e+01	1.953825857519791498e+01	0.000000000000000000e+00
-1.452416062289069145e-06	1.801801801801797493e-06	4.358046185289801144e+01	1.362465501379945465e+01	0.000000000000000000e+00
-2.058660623871892804e-06	1.001001001001025712e-06	8.990308595527437774e+01	9.623131903833664680e+00	0.000000000000000000e+00
-1.420405388490954746e-06	4.004004004004129954e-07	9.597566320702138398e+01	1.405123339658443449e+01	0.000000000000000000e+00
-1.106619431336866902e-06	1.301301301301311742e-06	5.174193771004256348e+01	1.773652694610779434e+01	0.000000000000000000e+00
-1.692123709592207739e-06	1.001001001000998607e-06	8.506932398318994615e+01	1.170750988142293281e+01	0.000000000000000000e+00
-1.479421076730805185e-06	2.602602602602609931e-06	2.314225135482659468e+01	1.343920145190562287e+01	0.000000000000000000e+00
-8.889080478236858007e-07	1.301301301301311742e-06	4.014447143511439009e+01	2.149492017416547185e+01	0.000000000000000000e+00
-1.158983255526488331e-06	1.601601601601597771e-06	4.281020715514245722e+01	1.726107226107228598e+01	0.000000000000000000e+00
-1.393536206761362471e-06	1.001001001000998607e-06	7.693894174776202988e+01	1.417224880382774366e+01	0.000000000000000000e+00
-7.859667566946132606e-07	7.007007007006990250e-07	6.758563927492140522e+01	2.324960753532187852e+01	0.000000000000000000e+00
-2.451728406953906574e-06	1.801801801801797493e-06	7.689384723880672823e+01	8.106185002736726375e+00	0.000000000000000000e+00
-2.099532224248335636e-06	2.202202202202224041e-06	5.988374204277773316e+01	9.475367882277675236e+00	0.000000000000000000e+00
-1.158415902123190861e-06	8.008008008007988857e-07	7.886892321001994333e+01	1.706221198156683982e+01	0.000000000000000000e+00
-1.493641722543840600e-06	2.202202202202196936e-06	3.330864956084146655e+01	1.323503127792672274e+01	0.000000000000000000e+00
-1.894889555869432280e-06	3.003003003002860296e-07	9.846632238953540650e+01	1.047383309759547920e+01	0.000000000000000000e+00
-1.502658915942680932e-06	2.402402402402410210e-06	2.895142907073769578e+01	1.325872873769024807e+01	0.000000000000000000e+00
8.824063891711594202e-07	3.003003003002995821e-07	9.660796338533582173e+01	2.115714285714280862e+01	0.000000000000000000e+00
-1.264348894057672595e-06	1.501501501501497911e-06	5.000436355797446453e+01	1.575531914893620034e+01	0.000000000000000000e+00
2.342774023454739950e-06	5.205205205205192757e-06	7.167534863550566016e+00	8.482245131729671428e+00	0.000000000000000000e+00
-2.582281477947573505e-06	2.102102102102083522e-06	7.095817612580523814e+01	7.701508060322413307e+00	0.000000000000000000e+00
-1.623482900137121519e-06	9.009009009009122989e-07	8.691037068857977488e+01	1.218930041152263932e+01	0.000000000000000000e+00
-1.512659336290954356e-06	8.008008008008124382e-07	8.835332260915588165e+01	1.308303886925795645e+01	0.000000000000000000e+00
1.604458073662748125e-06	2.902902902902909513e-06	1.821163654625266659e+01	1.235195996663886042e+01	0.000000000000000000e+00
