# Number of simulations: 100
# One compartment simulation; White noise sigma=7; Broad stimulus; cm parameter; dt=0.05
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 46.935087 minutes
# sigma	diff	pdiff	sharper
-3.420470081744900887e-02	2.202202202202208081e-02	8.104327151230204151e+01	5.805566444531555348e+00
4.961849131312018324e-02	3.003003003003046345e-03	9.982312617321794335e+01	4.004867495943753575e+00
3.929186226679871885e-02	4.304304304304307216e-02	5.558030371786313140e+01	5.059788179022893573e+00
5.203600397793403665e-02	2.202202202202196979e-02	9.189868766544773848e+01	3.819963889605364038e+00
5.991604603527989070e-02	4.904904904904916485e-02	7.210642765676473687e+01	3.316166592028659821e+00
-4.132979695746123727e-02	1.401401401401392022e-02	9.440055029008294696e+01	4.802204928664075112e+00
2.594577824546083489e-02	3.503503503503513361e-02	4.193173573066265902e+01	7.653746770025838586e+00
7.314594811085217696e-02	1.011011011011011540e-01	3.723970079090276641e+01	2.717431192660549222e+00
3.958930167471762240e-02	2.002002002002001291e-02	8.806040075704515857e+01	5.022041369955918100e+00
3.956312159200831707e-02	2.202202202202219183e-02	8.527049337197772161e+01	5.013540961408260443e+00
6.659124027047848282e-02	6.306306306306308507e-02	6.334460676638322951e+01	2.985887096774193505e+00
4.971570989889506631e-02	1.401401401401392022e-02	9.587595746818820430e+01	3.991913746630726401e+00
2.574437963872908824e-02	2.602602602602588355e-02	6.009954090468666266e+01	7.725612936880541071e+00
4.965896631008814149e-02	1.901901901901892344e-02	9.303372711882337853e+01	4.005950770895321256e+00
-4.365373307647900381e-02	4.004004004004024786e-03	9.951004456624707473e+01	4.549923195084487837e+00
6.421337486441895670e-02	4.704704704704698592e-02	7.618803730007634556e+01	3.096383023207191609e+00
9.053898505123385287e-02	1.801801801801805603e-02	9.807181868347176135e+01	2.197655438492357671e+00
-3.878233663044756280e-02	7.007007007007182153e-03	9.816710122530480476e+01	5.126341294565593287e+00
2.338829200634276462e-02	3.803803803803806893e-02	2.773483976882571511e+01	8.511494252873568200e+00
8.358298633547718570e-02	1.301301301301305280e-02	9.880215382474477792e+01	2.377207062600318555e+00
3.488112479982559411e-02	3.903903903903893635e-02	5.444392546538047384e+01	5.700538876058508286e+00
2.795998816094872469e-02	3.003003003003001936e-02	5.730135719541556227e+01	7.103117505995204972e+00
7.483776579939989404e-02	1.811811811811812056e-01	4.175389394746795269e+00	2.655073503047687744e+00
4.411817909815457517e-02	5.605605605605601394e-02	4.613122882181999529e+01	4.509744214372716442e+00
6.696256227052133081e-02	1.351351351351351981e-01	1.144295811061242318e+01	2.966746794871795601e+00
3.948996245505678737e-02	4.004004004003991479e-02	5.941726933602053151e+01	5.035702142128528180e+00
5.607045001969126335e-02	2.902902902902892990e-02	8.781345263539552093e+01	3.540521157064307811e+00
6.017850191707522362e-02	1.001001001001089463e-03	9.998494835050959750e+01	3.301382077574676721e+00
7.678118501160184628e-02	1.681681681681681528e-01	1.133605295303134142e+01	2.586899563318776796e+00
