# Number of simulations: 100
# One compartment simulation; White noise sigma=7; Broad stimulus; gpas parameter; dt=0.05
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 46.935087 minutes
# 
# sigma	diff	pdiff	sharper
4.125727720146348679e-07	3.003003003002995821e-07	8.995232502114134832e+01	2.950199203187251484e+01
-9.433534854043151657e-07	7.007007007006990250e-07	7.489468775685708124e+01	2.042758620689660276e+01
-7.744537284168194344e-07	8.008008008007988857e-07	6.091989702185644973e+01	2.247344461305013397e+01
8.364077579599859816e-07	2.702702702702709792e-06	2.345223270323032738e-01	2.314062499999997158e+01
-1.205252542544835870e-06	1.001001001000998607e-06	7.107180550453210799e+01	1.618579234972679970e+01
-6.423800111613957745e-07	6.006006006005991642e-07	6.793688865925496145e+01	2.870155038759696708e+01
-4.064407022148408914e-07	5.005005005004993035e-07	6.397097799769909443e+01	3.711779448621562949e+01
-1.286991856937869841e-06	7.007007007007125775e-07	8.598069993499144914e+01	1.542708333333333570e+01
-6.374386960737615385e-07	5.005005005005128561e-07	7.225525717624233835e+01	3.117894736842092485e+01
5.833862707576045391e-07	4.004004004003994428e-07	8.549066119194577595e+01	2.909626719056970501e+01
-1.404026149545004411e-06	3.003003003003131346e-07	9.743722647003542647e+01	1.409134157944814092e+01
-9.374570313638431164e-07	1.201201201201198328e-06	5.080063609716531658e+01	1.979946524064176572e+01
-3.922122298230255209e-07	4.004004004003994428e-07	7.554571264003861586e+01	3.730478589420664548e+01
-7.734411275512104834e-07	4.004004004003994428e-07	8.665246510910776578e+01	2.514431239388793671e+01
8.464772534560297618e-07	1.701701701701697632e-06	1.043017306416100354e+01	2.264525993883795607e+01
-1.174277711235774651e-06	9.009009009008987464e-07	7.343861466328269216e+01	1.662177328843999646e+01
1.892230568187587933e-06	2.602602602602596378e-06	3.775529524507879842e+01	1.048124557678698032e+01
5.405226302898812337e-07	5.005005005005128561e-07	7.963116451487012171e+01	3.157782515991455341e+01
4.940557668779973072e-07	0.000000000000000000e+00	1.000000000000000000e+02	2.497470489038778751e+01
-1.600042869281851594e-06	1.801801801801797493e-06	5.229274104896211384e+01	1.240368509212732206e+01
-5.492876879626076194e-07	6.006006006005991642e-07	6.242499442912018282e+01	3.436194895591631138e+01
5.143224264841443671e-07	1.001001001000998607e-07	9.964255815784036940e+01	2.464226289517464963e+01
-1.454675349372191429e-06	1.201201201201225434e-06	7.420077359280101348e+01	1.357470210815766087e+01
8.618624140878320076e-07	3.003003003002995821e-07	9.492771801182351510e+01	2.184365781710908294e+01
-1.283731655325723386e-06	1.701701701701711185e-06	3.871042733097176125e+01	1.542708333333335169e+01
6.220138844609603094e-07	1.001001001000998607e-07	9.946290169903994638e+01	2.443894389438938219e+01
-9.137003154982542276e-07	4.004004004003994428e-07	8.939876002420227508e+01	2.165204678362568558e+01
-1.258601319095278634e-06	2.002002002001997214e-07	9.839659445129150583e+01	1.557308096740272951e+01
-1.560544902700325534e-06	2.002002002001997214e-07	9.901229136645933693e+01	1.269065981148243338e+01
-1.184340968905787805e-06	1.101101101101098468e-06	6.490353198815979852e+01	1.652901785714289673e+01
-1.210502666818378064e-06	4.004004004003994428e-07	9.461780418644629265e+01	1.649220489977727411e+01
-1.025810152311763149e-06	1.101101101101112020e-06	6.048822351729191382e+01	1.855889724310776501e+01
-8.425233020261171130e-07	1.001001001000998607e-06	5.540036608527491069e+01	2.112696148359491488e+01
-5.362974619197825484e-07	1.501501501501511463e-06	2.947919070063862446e+00	3.428240740740749715e+01
-7.240597420604512098e-07	4.004004004003994428e-07	8.561912777985881462e+01	2.644642857142854808e+01
-1.409460530895409526e-06	1.001001001001134132e-07	9.953417435658697343e+01	1.398489140698772282e+01
-1.041964293773310485e-06	1.501501501501497911e-06	3.754400650215911384e+01	1.928385416666671404e+01
-1.484728459908713201e-06	1.701701701701711185e-06	5.322348814766812097e+01	1.331834532374101876e+01
-6.621883197920171705e-07	7.007007007006990250e-07	5.892310540185803092e+01	2.794339622641517096e+01
1.803537157839435246e-06	3.503503503503508677e-06	1.382697514641718328e+01	1.101115241635687880e+01
-1.065316470465586502e-06	3.003003003002995821e-07	9.595454385132833863e+01	1.832920792079206507e+01
-1.015163771164125564e-06	4.004004004004129954e-07	9.058704875758873243e+01	1.974666666666663417e+01
-1.067373100233802670e-06	2.002002002001997214e-07	9.816721934656284532e+01	1.812729498164012654e+01
-8.238678829516182473e-07	6.006006006005991642e-07	7.804955901267621243e+01	2.392568659127631037e+01
4.827616345558625272e-07	3.003003003002995821e-07	9.173003624857805960e+01	2.794339622641503951e+01
5.389108383116796120e-07	3.003003003002995821e-07	9.208946823618607880e+01	2.717431192660544070e+01
