# Number of simulations: 100
# One compartment simulation; White noise sigma=7; broad stimulus; cm parameter; dt=0.1
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 24.690884 minutes
# sigma	diff	accuracy	sharper	sigma_err
4.745462033474268093e-02	2.202202202202196979e-02	8.965519593031433487e+01	4.190718732314659078e+00	0.000000000000000000e+00
5.240987552499485475e-02	7.207207207207200206e-02	4.102992938054853767e+01	3.788692760296752393e+00	0.000000000000000000e+00
4.743641399565175221e-02	3.903903903903893635e-02	7.206003641816845118e+01	4.188348416289592535e+00	0.000000000000000000e+00
1.119762683589786839e-01	6.406406406406395249e-02	8.528061137976695250e+01	1.775353632222489431e+00	0.000000000000000000e+00
8.448185928866025257e-05	8.448185928866025257e-05	8.448185928866025257e-05	8.448185928866025257e-05	8.448185928866025257e-05
7.346526633620598101e-02	8.308308308308309797e-02	5.204147827840866825e+01	2.705516989404458172e+00	0.000000000000000000e+00
6.736471182642209121e-02	1.701701701701696656e-02	9.704324733424435578e+01	2.951375049820644580e+00	0.000000000000000000e+00
6.797935093407005136e-02	3.903903903903893635e-02	8.511547372282964830e+01	2.923410975128306166e+00	0.000000000000000000e+00
7.254441459088345479e-02	3.703703703703697947e-02	8.748645380145691774e+01	2.738535502958579393e+00	0.000000000000000000e+00
5.101627706594141776e-02	2.502502502502501613e-02	8.867561506268215510e+01	3.899420747761980000e+00	0.000000000000000000e+00
5.717441882221663968e-02	5.205205205205198915e-02	6.686163556260514440e+01	3.471636193155183125e+00	0.000000000000000000e+00
5.583367242078800946e-02	4.004004004004002581e-02	7.713151692851609198e+01	3.556676272814601525e+00	0.000000000000000000e+00
8.077456552442416338e-02	2.002002002001956882e-03	9.995841692022763425e+01	2.459315841912985245e+00	0.000000000000000000e+00
4.271632728866182893e-02	2.102102102102088033e-02	8.897270849091782452e+01	4.655768626218171669e+00	0.000000000000000000e+00
8.564620078995156816e-02	1.801801801801805603e-02	9.789767778252199548e+01	2.318772506654140919e+00	0.000000000000000000e+00
7.029716535312263703e-02	6.906906906906917776e-02	6.302383726921242157e+01	2.827954936032079925e+00	0.000000000000000000e+00
7.790582553466021687e-02	5.905905905905894926e-02	7.618613676599682094e+01	2.551688490696073064e+00	0.000000000000000000e+00
6.123052251611964952e-02	6.806806806806808829e-02	5.542760871161645753e+01	3.248519412151787744e+00	0.000000000000000000e+00
8.528920685214869124e-02	6.206206206206210663e-02	7.629393871408964856e+01	2.329715274500550937e+00	0.000000000000000000e+00
8.675870296689958128e-02	3.003003003002824300e-03	9.992284283881764395e+01	2.290088139786608856e+00	0.000000000000000000e+00
7.957075809342399608e-02	4.304304304304307216e-02	8.654665297847536465e+01	2.496207652115288056e+00	0.000000000000000000e+00
7.506081636005448865e-02	9.809809809809810766e-02	4.456974018216106970e+01	2.647952798140534636e+00	0.000000000000000000e+00
4.580713531184144038e-02	3.203203203203197624e-02	7.889303720970673339e+01	4.343108504398828451e+00	0.000000000000000000e+00
5.010425719838916547e-02	8.608608608608614432e-02	2.498770905908074980e+01	3.963071982873962007e+00	0.000000000000000000e+00
