# Number of simulations: 100
# One compartment simulation; White noise sigma=7; broad stimulus; gpas parameter; dt=0.1
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 24.690884 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
9.330912726601540877e-07	3.003003003002995821e-07	9.480945094919030680e+01	2.115714285714281573e+01	0.000000000000000000e+00
1.005287391274629929e-06	1.601601601601597771e-06	2.585354882827402179e+01	1.993270524899061158e+01	0.000000000000000000e+00
3.277828926999994589e-07	2.202202202202210488e-06	7.904847362908265396e+00	2.051246537396123415e+01	0.000000000000000000e+00
2.724600923475758281e-06	4.504504504504507284e-06	2.854296793195547011e+01	7.306364084854465091e+00	0.000000000000000000e+00
1.293545606369694782e-09	1.293545606369694782e-09	1.293545606369694782e-09	1.293545606369694782e-09	1.293545606369694782e-09
1.446546826678686492e-06	1.101101101101098468e-06	7.669871372282311484e+01	1.362465501379945998e+01	0.000000000000000000e+00
1.164750444883422191e-06	6.006006006005991642e-07	8.648774615013029177e+01	1.708189158016145370e+01	0.000000000000000000e+00
1.141408086606292942e-06	9.009009009008987464e-07	7.457070009129986943e+01	1.696449026345934996e+01	0.000000000000000000e+00
1.250051758859112720e-06	6.006006006006127168e-07	9.018151264646525078e+01	1.589055793991415655e+01	0.000000000000000000e+00
1.049417928853341527e-06	7.007007007006990250e-07	7.849170822529029579e+01	1.844333748443337484e+01	0.000000000000000000e+00
1.192983896903643842e-06	1.801801801801797493e-06	3.153762598614871138e+01	1.643729189789128142e+01	0.000000000000000000e+00
1.145470220343114045e-06	3.003003003002995821e-07	9.682100174383425895e+01	1.714120370370368818e+01	0.000000000000000000e+00
1.760113438644010936e-06	2.502502502502510070e-06	3.811027408710439346e+01	1.133129303749043970e+01	0.000000000000000000e+00
6.357952942672912961e-07	8.008008008007988857e-07	5.209404131167374175e+01	2.630550621669620526e+01	0.000000000000000000e+00
2.239144077348275798e-06	1.101101101101112020e-06	8.921506074052743429e+01	8.878896882494007770e+00	0.000000000000000000e+00
1.567965222082795680e-06	4.004004004003994428e-07	9.711995886350676699e+01	1.265811965811965756e+01	0.000000000000000000e+00
1.698959718234155850e-06	9.009009009008987464e-07	8.725033427810386399e+01	1.167981072555205380e+01	0.000000000000000000e+00
1.084820508055328019e-06	1.001001001000998607e-06	6.719677220856851818e+01	1.771531100478473064e+01	0.000000000000000000e+00
2.059669501741734638e-06	0.000000000000000000e+00	1.000000000000000000e+02	9.641927083333341031e+00	0.000000000000000000e+00
1.471590635592549347e-06	2.202202202202210488e-06	3.451043799892067199e+01	1.348816029143898021e+01	0.000000000000000000e+00
1.436854314759312770e-06	3.003003003002995821e-06	1.066034407407055973e+01	1.373840445269015476e+01	0.000000000000000000e+00
1.702397154046210144e-06	2.502502502502496518e-06	3.294628219506468270e+01	1.170750988142292215e+01	0.000000000000000000e+00
6.917639048408279235e-07	1.001001001000998607e-07	9.882861071611331738e+01	2.396440129449836220e+01	0.000000000000000000e+00
1.027687565506758869e-06	7.007007007006990250e-07	8.028917584783708605e+01	1.910967741935487396e+01	0.000000000000000000e+00
1.138365831458753057e-06	6.006006006005991642e-07	8.476199065152519552e+01	1.746462264150941124e+01	0.000000000000000000e+00
6.942068234837244592e-07	4.004004004003994428e-07	8.688886275810199322e+01	2.837164750957858672e+01	0.000000000000000000e+00
1.527105682277773259e-06	8.008008008008124382e-07	8.779030758114588195e+01	1.293449781659388798e+01	0.000000000000000000e+00
1.689681335823646843e-06	1.201201201201198328e-06	7.939804576135729519e+01	1.171677215189874133e+01	0.000000000000000000e+00
2.408949230409293938e-06	0.000000000000000000e+00	1.000000000000000000e+02	8.250696378830090438e+00	0.000000000000000000e+00
2.119500416104805101e-06	0.000000000000000000e+00	1.000000000000000000e+02	9.373417721518993773e+00	0.000000000000000000e+00
2.010765436419623788e-06	1.701701701701684079e-06	6.926009059743326191e+01	9.886515353805075179e+00	0.000000000000000000e+00
7.570195440748550266e-07	1.001001001000998607e-07	9.948888050221718515e+01	2.243939393939390214e+01	0.000000000000000000e+00
1.598191994745132951e-06	2.102102102102097075e-06	4.263563625869809925e+01	1.237259816207184748e+01	0.000000000000000000e+00
2.213064793954313602e-06	2.302302302302283244e-06	5.666992315179606265e+01	8.981200727713769538e+00	0.000000000000000000e+00
9.858253687986352446e-07	1.901901901901910906e-06	1.591079701874571128e+01	1.925877763329001979e+01	0.000000000000000000e+00
1.385174267229640401e-06	4.004004004003994428e-07	9.536830472571476491e+01	1.435077519379845334e+01	0.000000000000000000e+00
2.432565979948489868e-06	1.501501501501484358e-06	8.350086569934657632e+01	8.173289183222955501e+00	0.000000000000000000e+00
1.246755818824048813e-06	1.801801801801797493e-06	3.430119939462389311e+01	1.585653104925055068e+01	0.000000000000000000e+00
2.312977191978334149e-06	1.701701701701684079e-06	7.493052708087628844e+01	8.585507246376810286e+00	0.000000000000000000e+00
9.495673496122416785e-07	1.101101101101112020e-06	5.747563995239091383e+01	1.961589403973509249e+01	0.000000000000000000e+00
1.534221493063454414e-06	1.701701701701697632e-06	5.166657222114012882e+01	1.294580419580420738e+01	0.000000000000000000e+00
1.126475544587201933e-06	1.601601601601597771e-06	3.863049131196062547e+01	1.771531100478471288e+01	0.000000000000000000e+00
1.527865341497238379e-06	5.005005005004993035e-07	9.447748191333650425e+01	1.302550571679859814e+01	0.000000000000000000e+00
1.974308639518965640e-06	1.401401401401398050e-06	7.737861874726468159e+01	1.008168822328114445e+01	0.000000000000000000e+00
1.301105124887343963e-06	3.003003003002995821e-07	9.749144856497018452e+01	1.526804123711340466e+01	0.000000000000000000e+00
2.910671533647268173e-06	5.205205205205219862e-06	2.280326851613730810e+01	6.831180811808118314e+00	0.000000000000000000e+00
5.575967773341293234e-07	3.003003003002995821e-07	8.831015146582757325e+01	3.085416666666655772e+01	0.000000000000000000e+00
2.493015199353355749e-06	3.003003003003131346e-07	9.916808689949120037e+01	7.983827493261456354e+00	0.000000000000000000e+00
