# Number of simulations: 100
# One compartment simulation; White noise sigma=7; narrow stimulus; cm parameter; dt=0.1
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 8.953358 minutes
# sigma	diff	accuracy	sharper	sigma_err
4.936983467559543509e-02	3.003003003003001936e-02	8.424192971057719603e+01	4.036522213137096138e+00	0.000000000000000000e+00
3.523664120548159612e-02	2.602602602602610560e-02	7.620748855102976904e+01	5.646206633625620697e+00	0.000000000000000000e+00
7.746903883954067704e-02	5.705705705705721442e-02	7.476049320513477880e+01	2.573861661452902183e+00	0.000000000000000000e+00
-2.757597247461425136e-02	1.901901901901903447e-02	7.870226220144577667e+01	7.210321324245377639e+00	0.000000000000000000e+00
1.599987423482854450e-04	1.599987423482854450e-04	1.599987423482854450e-04	1.599987423482854450e-04	1.599987423482854450e-04
6.758438200168893906e-02	1.341341341341342197e-01	1.021828893721398934e+01	2.949024293110315220e+00	0.000000000000000000e+00
6.080086583037332820e-02	2.602602602602610560e-02	9.132721861422943732e+01	3.280903854674346753e+00	0.000000000000000000e+00
6.215872824233741739e-02	1.221221221221220343e-01	1.890406609707595109e+01	3.209100758396535635e+00	0.000000000000000000e+00
5.233482053381310201e-02	9.109109109109103652e-02	2.619183427232491468e+01	3.811116829644878301e+00	0.000000000000000000e+00
6.973327160050947493e-02	4.004004004003913764e-03	9.983644869765923602e+01	2.856867283950614844e+00	0.000000000000000000e+00
4.610672890987686096e-02	1.501501501501489866e-02	9.508942475946498973e+01	4.326614081215309326e+00	0.000000000000000000e+00
6.146144786314537700e-02	8.408408408408396539e-02	4.320477000865241024e+01	3.244960560911477110e+00	0.000000000000000000e+00
-2.213649310691769359e-02	1.001001001000978441e-03	9.997816771950321879e+01	8.964891041162227125e+00	0.000000000000000000e+00
6.807026691546111397e-02	2.402402402402392667e-02	9.422925343966116429e+01	2.934416485040614919e+00	0.000000000000000000e+00
-3.088654601136569394e-02	6.006006006005981668e-03	9.818345119659865361e+01	6.453159041394335382e+00	0.000000000000000000e+00
4.384686646898390550e-02	9.209209209209212599e-02	7.793920136608475602e+00	4.547129260055264410e+00	0.000000000000000000e+00
-3.888684669217707529e-02	1.101101101101109592e-02	9.613421263121317395e+01	5.115716753022452323e+00	0.000000000000000000e+00
5.247424159093367485e-02	3.103103103103110882e-02	8.375278580609665369e+01	3.795489492567916567e+00	0.000000000000000000e+00
5.561365296212670423e-02	1.401401401401392022e-02	9.705177321579763827e+01	3.585088356330186965e+00	0.000000000000000000e+00
5.383448505177371168e-02	1.101101101101109592e-02	9.803980578620350173e+01	3.702500000000001457e+00	0.000000000000000000e+00
5.151470765661753104e-02	3.303303303303306571e-02	8.124485901782158237e+01	3.868861024033440010e+00	0.000000000000000000e+00
4.471681551503239177e-02	8.408408408408396539e-02	1.397887537824563964e+01	4.452796151533374491e+00	0.000000000000000000e+00
7.519506239107842660e-02	1.221221221221220343e-01	2.260897523109722229e+01	2.652695683324376663e+00	0.000000000000000000e+00
4.810794740787714685e-02	7.007007007006960109e-03	9.885898982740174290e+01	4.141498881431767920e+00	0.000000000000000000e+00
6.216611559001899989e-02	1.201201201201196334e-02	9.833069324359797747e+01	3.205627705627706270e+00	0.000000000000000000e+00
6.313619663183595021e-02	2.002002002001956882e-03	9.995795734361762186e+01	3.159803712395989006e+00	0.000000000000000000e+00
6.777176066615009375e-02	3.203203203203197624e-02	9.003469524385837985e+01	2.946677278153602142e+00	0.000000000000000000e+00
4.825337687388277924e-02	4.604604604604600748e-02	6.240317744422792146e+01	4.128798438806803084e+00	0.000000000000000000e+00
5.050866409858051354e-02	4.404404404404393958e-02	7.013015499306798972e+01	3.944074567243674334e+00	0.000000000000000000e+00
7.043615858352712811e-02	1.011011011011011540e-01	3.188717900212314049e+01	2.830657492354736959e+00	0.000000000000000000e+00
6.923024851440658101e-02	3.003003003003001936e-02	9.123479481871210339e+01	2.878522837706512405e+00	0.000000000000000000e+00
5.765625687942171201e-02	1.031031031031031109e-01	2.436320362768599068e+01	3.457049486461251320e+00	0.000000000000000000e+00
6.905195936446402449e-02	3.303303303303306571e-02	8.986240149211116091e+01	2.890320062451207317e+00	0.000000000000000000e+00
-4.326034909999128958e-02	1.101101101101098489e-02	9.701665262957604341e+01	4.606531881804045270e+00	0.000000000000000000e+00
5.819753012200187120e-02	2.002002002002178926e-03	9.993861506996060484e+01	3.425069380203515479e+00	0.000000000000000000e+00
5.982441636358849096e-02	2.002002002001956882e-03	9.996840446457412099e+01	3.329586330935252025e+00	0.000000000000000000e+00
2.503657389238541503e-02	4.804804804804796436e-02	1.432106287752306883e+01	7.928265524625270899e+00	0.000000000000000000e+00
4.921313608611180279e-02	1.701701701701696656e-02	9.439430345061995808e+01	4.047553976496311989e+00	0.000000000000000000e+00
8.948819709493757713e-02	1.901901901901892344e-02	9.777974779766203994e+01	2.230085830447221973e+00	0.000000000000000000e+00
6.415300847364896475e-02	1.611611611611611927e-01	7.368438244126809700e+00	3.111344537815122546e+00	0.000000000000000000e+00
3.275510855436485763e-02	3.603603603603611205e-02	5.319515769435659536e+01	6.072160721607217759e+00	0.000000000000000000e+00
3.409726400423275516e-02	3.303303303303306571e-02	6.206800478300341695e+01	5.844514601420680577e+00	0.000000000000000000e+00
6.289625640931817419e-02	2.602602602602610560e-02	9.158928986581813092e+01	3.172664952870607902e+00	0.000000000000000000e+00
4.040561989540340099e-02	2.202202202202196979e-02	8.663453480143469676e+01	4.928452579034941827e+00	0.000000000000000000e+00
4.589629499953124664e-02	2.802802802802806248e-02	8.399415767742056005e+01	4.335480093676814306e+00	0.000000000000000000e+00
5.442797743304775976e-02	1.081081081081081141e-01	1.812354494810771399e+01	3.661310259579729554e+00	0.000000000000000000e+00
5.854291684969813864e-02	1.141141141141142068e-01	1.156091805809091433e+01	3.403033088235292603e+00	0.000000000000000000e+00
9.077229950651088952e-02	3.903903903903915840e-02	9.088578390347528568e+01	2.197981596913029634e+00	0.000000000000000000e+00
6.822636439717939816e-02	1.901901901901892344e-02	9.615240707794882269e+01	2.923410975128303946e+00	0.000000000000000000e+00
1.070643123951942194e-01	7.007007007007026722e-02	7.936383608292676684e+01	1.867355945025846564e+00	0.000000000000000000e+00
-2.507295439367623197e-02	7.007007007007071131e-03	9.607888362851755915e+01	7.941018766756034353e+00	0.000000000000000000e+00
-3.144494601944895079e-02	3.003003003003046345e-03	9.946745486927598279e+01	6.331765711842667343e+00	0.000000000000000000e+00
6.727341826203882269e-02	7.307307307307309152e-02	5.224986970618552817e+01	2.967341214185534426e+00	0.000000000000000000e+00
7.495027142135873843e-02	7.007007007006960109e-03	9.952512874582410518e+01	2.664148228098576432e+00	0.000000000000000000e+00
4.653245327542308157e-02	2.802802802802806248e-02	8.378511491189428284e+01	4.286541244573085052e+00	0.000000000000000000e+00
4.179046330081886279e-02	3.103103103103110882e-02	7.513604768429519254e+01	4.768190598840951644e+00	0.000000000000000000e+00
3.526300813105991833e-02	2.402402402402392667e-02	7.831989937443786687e+01	5.650515070583746358e+00	0.000000000000000000e+00
4.122035291700809623e-02	7.407407407407418098e-02	2.370353180996226072e+01	4.831973898858074712e+00	0.000000000000000000e+00
3.168062184741175097e-02	3.203203203203208727e-02	6.194780339081242460e+01	6.286078098471987730e+00	0.000000000000000000e+00
6.210162576153898523e-02	7.207207207207222410e-02	4.778957247380531470e+01	3.210492087578582954e+00	0.000000000000000000e+00
-3.671895262043415459e-02	5.005005005005003227e-03	9.894542966713621013e+01	5.420937042459738286e+00	0.000000000000000000e+00
3.313318279339506900e-02	3.203203203203197624e-02	6.382969337899264417e+01	6.010551948051950255e+00	0.000000000000000000e+00
4.237592305157149297e-02	3.903903903903893635e-02	6.379886587622832650e+01	4.701587301587302647e+00	0.000000000000000000e+00
4.310576365983933428e-02	6.106106106106112819e-02	3.322181329831352059e+01	4.616583541147130987e+00	0.000000000000000000e+00
5.123661800607802463e-02	8.408408408408396539e-02	3.054199410631350275e+01	3.894293978438076120e+00	0.000000000000000000e+00
5.428806881316370486e-02	1.441441441441440041e-01	1.363678549223731551e+00	3.672204314406150250e+00	0.000000000000000000e+00
4.966604196704549334e-02	1.701701701701696656e-02	9.426968275264120223e+01	4.010289737340916538e+00	0.000000000000000000e+00
6.130270493782798841e-02	1.271271271271270376e-01	1.579188790249751762e+01	3.252800351416643920e+00	0.000000000000000000e+00
-4.344666332263837083e-02	5.005005005005003227e-03	9.931984188405459690e+01	4.582301980198020708e+00	0.000000000000000000e+00
-3.015302361749379323e-02	1.001001001001000645e-02	9.489902422179754637e+01	6.602764155149353442e+00	0.000000000000000000e+00
7.112422975606839948e-02	5.105105105105112173e-02	7.811040740395446846e+01	2.804393107366029092e+00	0.000000000000000000e+00
-3.974084416714611379e-02	3.003003003003046345e-03	9.979361938926025744e+01	5.010148849797023907e+00	0.000000000000000000e+00
5.399263579494825716e-02	8.008008008008049572e-03	9.885791557977070454e+01	3.696031944097829758e+00	0.000000000000000000e+00
5.863768725862540665e-02	1.131131131131131173e-01	1.185868727313242665e+01	3.399127840257058164e+00	0.000000000000000000e+00
-2.898241048876524367e-02	2.202202202202196979e-02	7.654785260504891653e+01	6.859657248726264811e+00	0.000000000000000000e+00
7.953775780888339142e-02	4.904904904904894281e-02	8.172875380142966151e+01	2.508893782822295471e+00	0.000000000000000000e+00
5.891637357206662429e-02	6.006006006006092690e-03	9.942621497005350761e+01	3.380506733622460125e+00	0.000000000000000000e+00
4.010464667459049531e-02	6.506506506506504195e-02	3.078913784454284652e+01	4.966465459423206497e+00	0.000000000000000000e+00
4.469957774560238267e-02	1.401401401401414226e-02	9.511874170901107561e+01	4.455475330926592648e+00	0.000000000000000000e+00
4.965990726189595944e-02	1.401401401401392022e-02	9.616294907809479753e+01	4.010289737340917426e+00	0.000000000000000000e+00
4.703984416915018424e-02	4.804804804804807539e-02	6.139237798200984031e+01	4.237482117310443108e+00	0.000000000000000000e+00
5.866007328996698800e-02	7.607607607607613787e-02	3.950450379276053781e+01	3.397568249598532208e+00	0.000000000000000000e+00
4.879366664444358820e-02	9.209209209209201497e-02	2.130623499933320275e+01	4.084390512961943109e+00	0.000000000000000000e+00
5.568025698634140874e-02	4.504504504504502904e-02	7.037356274940160006e+01	3.576430813813089138e+00	0.000000000000000000e+00
6.113584993693132325e-02	1.701701701701701097e-01	4.179788936809798905e+00	3.258525852585256288e+00	0.000000000000000000e+00
7.739554273954230013e-02	5.505505505505525754e-02	7.624756721862047470e+01	2.579689949486149825e+00	0.000000000000000000e+00
-3.218087529390654955e-02	1.901901901901892344e-02	8.475310022405825805e+01	6.178556528994575636e+00	0.000000000000000000e+00
5.280624621462013529e-02	5.505505505505514652e-02	5.641741476064935057e+01	3.772287315333673341e+00	0.000000000000000000e+00
-3.468939550975992658e-02	1.001001001001000645e-02	9.579766678499032651e+01	5.742535866614969287e+00	0.000000000000000000e+00
4.529563337305760051e-02	2.702702702702708404e-02	8.368906883690793563e+01	4.395963193826061044e+00	0.000000000000000000e+00
-3.337727570806417465e-02	1.001001001001089463e-03	9.993448752224711029e+01	5.969367190648931398e+00	0.000000000000000000e+00
3.950329667084131330e-02	1.801801801801794500e-02	9.008283647166295793e+01	5.044277929155314588e+00	0.000000000000000000e+00
1.177608962180750063e-01	5.805805805805808184e-02	8.812189334417701048e+01	1.697615772581384519e+00	0.000000000000000000e+00
1.085289835292854999e-01	1.261261261261261701e-01	4.696902324126482142e+01	1.839980121754254183e+00	0.000000000000000000e+00
-3.108553911877823261e-02	8.008008008008049572e-03	9.656134790086065323e+01	6.397408207343413089e+00	0.000000000000000000e+00
5.316880571812359485e-02	3.603603603603600103e-02	8.029359571224699721e+01	3.752216873574867329e+00	0.000000000000000000e+00
8.192635700593645098e-02	1.501501501501500968e-02	9.825756027780060720e+01	2.443088089739359869e+00	0.000000000000000000e+00
4.987027920251511232e-02	8.208208208208211953e-02	2.204539364351428077e+01	3.998380129589634180e+00	0.000000000000000000e+00
4.454403726303679534e-02	1.801801801801805603e-02	9.218378057017848448e+01	4.472968891573544603e+00	0.000000000000000000e+00
4.373671496289203986e-02	2.802802802802806248e-02	8.170754999340384472e+01	4.558325638658051737e+00	0.000000000000000000e+00
