# Number of simulations: 100
# One compartment simulation; White noise sigma=7; narrow stimulus; gpas parameter; dt=0.1
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 8.953358 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
-3.755893087530881207e-06	2.402402402402396657e-06	8.294037919879697540e+01	5.294958884519127551e+00	0.000000000000000000e+00
2.277435014230870856e-06	4.304304304304307563e-06	2.070209272934974010e+01	8.732311320754716277e+00	0.000000000000000000e+00
4.691868619690863483e-06	3.603603603603608538e-06	7.608486004809638814e+01	4.249641319942611517e+00	0.000000000000000000e+00
-1.571550960622705485e-06	1.601601601601604548e-06	6.261874208620061921e+01	1.261499148211244581e+01	0.000000000000000000e+00
1.610610082118149595e-08	1.610610082118149595e-08	1.610610082118149595e-08	1.610610082118149595e-08	1.610610082118149595e-08
5.484760962488050262e-06	6.206206206206204916e-06	5.026816213256302035e+01	3.646885003693670857e+00	0.000000000000000000e+00
4.578996358413842760e-06	2.402402402402410210e-06	8.728150999857187742e+01	4.354601587768303084e+00	0.000000000000000000e+00
5.691786203333942215e-06	6.806806806806817633e-06	5.189705172839240532e+01	3.501182033096925661e+00	0.000000000000000000e+00
5.835901599620626840e-06	5.305305305305306170e-06	6.395151791918396356e+01	3.412442396313364767e+00	0.000000000000000000e+00
4.673432523582440541e-06	7.607607607607602966e-06	3.043138045798747982e+01	4.259419039401781681e+00	0.000000000000000000e+00
3.987993348760165258e-06	9.509509509509513872e-06	3.766013541504888984e+00	4.994940978077573313e+00	0.000000000000000000e+00
5.245584049956583386e-06	5.105105105105106449e-06	6.041907474073684625e+01	3.799384299640840013e+00	0.000000000000000000e+00
-2.644685108247132069e-06	3.003003003002995821e-07	9.953133260426764650e+01	7.521584560690707910e+00	0.000000000000000000e+00
5.820329943668529096e-06	7.007007007007125775e-07	9.935322721640864074e+01	3.427447350150429450e+00	0.000000000000000000e+00
-4.207062036380732688e-06	1.001001001001134132e-07	9.996111901335689254e+01	4.727098627513570683e+00	0.000000000000000000e+00
4.844222136132432723e-06	2.002002002001997214e-07	9.995775001100064117e+01	4.112746459316857006e+00	0.000000000000000000e+00
4.097949420844510793e-06	7.207207207207203523e-06	1.768160743731003848e+01	4.862114248194353117e+00	0.000000000000000000e+00
3.624464430597284562e-06	3.303303303303308956e-06	6.398075975934469284e+01	5.499443000371336154e+00	0.000000000000000000e+00
5.527256836191226284e-06	1.041041041041041262e-05	2.117327886225648470e+01	3.603406326034064744e+00	0.000000000000000000e+00
4.633967403507803490e-06	1.801801801801797493e-06	9.276285425426502229e+01	4.300232288037165063e+00	0.000000000000000000e+00
4.429337550758194586e-06	2.702702702702696239e-06	8.303770902498895623e+01	4.502888415931896482e+00	0.000000000000000000e+00
1.883379535707168354e-06	3.703703703703708399e-06	1.768092336517711871e+01	1.054092526690392084e+01	0.000000000000000000e+00
4.814118791247667642e-06	3.103103103103109234e-06	8.231419358643003648e+01	4.142657342657339647e+00	0.000000000000000000e+00
4.429174504743317715e-06	2.902902902902895961e-06	7.937979832917069700e+01	4.498784933171324774e+00	0.000000000000000000e+00
3.519132535253586283e-06	3.003003003003009374e-06	6.843909373522615169e+01	5.669984686064319490e+00	0.000000000000000000e+00
7.019668246190549492e-06	9.009009009009014569e-06	4.008098634123747672e+01	2.841519570222565072e+00	0.000000000000000000e+00
7.654170932386925849e-06	2.802802802802796100e-06	9.355560497789696228e+01	2.607394366197183011e+00	0.000000000000000000e+00
