# 
# sigma	fit_err	rdiff	accuracy	sharper	broadness
1.531153619844286418e+01	1.044146850714632535e+01	5.875934702642701346e+00	9.168661292661940365e+01	1.306387929211027421e+00	7.654694119869390079e+01
1.958751034333799268e+01	1.443983077291662909e+01	3.971814405505253553e+00	9.787913910676694229e+01	1.021050891356459767e+00	9.793831125023612572e+01
1.701457583291428222e+01	1.782198907589298997e+01	1.272123634259872293e+00	9.972966629682230177e+01	1.175479777954004934e+00	8.507164638259978062e+01
1.622041132865039259e+01	7.973204405462630540e+00	3.026905478781902303e+00	9.835784156172951498e+01	1.232993395331813735e+00	8.110343524840112650e+01
1.570620347795821381e+01	1.428096518880711052e+01	6.974153331560758673e+00	8.927264177562408065e+01	1.273283282079474832e+00	7.853711849313221194e+01
1.804856328534708254e+01	4.641339707618481469e+00	2.536620654550036047e+00	9.869364259133661221e+01	1.108180445281777837e+00	9.023801171168737767e+01
1.857571338169857000e+01	1.007382432125901950e+01	-1.320784599718270513e+01	7.603212790815643984e+01	1.076706278873812206e+00	9.287583992228189800e+01
1.770465959969672909e+01	1.272446090948267639e+01	3.042396474033577380e+00	9.823795464485043283e+01	1.129734920659116293e+00	8.851633969290551818e+01
1.715762172833297683e+01	6.645283400625927150e+00	5.387963866633776355e+00	9.607711665186910466e+01	1.165717701091572245e+00	8.578406239037160219e+01
1.748594694250957815e+01	4.462764249013373430e+00	-7.155599697162669415e+00	9.387754174970029908e+01	1.143805173158837452e+00	8.742747659011787675e+01
1.743939654285158980e+01	1.709236819648161188e+01	-3.603057880561029602e+00	9.720926939391988242e+01	1.146831721470018550e+00	8.719675095123733399e+01
1.640925796184868091e+01	2.452394335520361679e+01	9.926960730431987345e-01	9.984034221724165548e+01	1.218880026313625464e+00	8.204252907682759144e+01
1.638969156935123905e+01	1.567800717570810320e+01	1.253035183295746435e+01	7.755623993710304376e+01	1.220345122834748386e+00	8.194403216666222534e+01
1.686155324002610456e+01	9.718858615175548721e+00	8.640012972356075238e+00	8.705736321452160098e+01	1.186165615697320153e+00	8.430525946514832469e+01
1.670255529004720074e+01	9.126658257411946806e+00	1.531939021502046749e+00	9.972518119577810580e+01	1.197453670043462148e+00	8.351053782011494775e+01
1.703536750170346181e+01	2.019959702509417454e+01	5.097527110942575490e+00	9.633457557972263885e+01	1.174083168316831793e+00	8.517284183824918387e+01
1.707706902810934224e+01	4.797122718653929141e+00	5.786916047947197050e+00	9.309334650240896281e+01	1.171133303836671802e+00	8.538737620422600116e+01
1.689482402212897227e+01	1.001854371778268415e+01	2.495521019600324131e-01	9.998512369614846307e+01	1.184005367755128546e+00	8.445907655773535794e+01
1.785682827533329586e+01	8.749300921230517503e+00	-2.822057566623254132e+00	9.825850087112533515e+01	1.120020552499545685e+00	8.928407588309909215e+01
1.669101850718163149e+01	2.661136808655345476e+01	7.856320517591516506e+00	8.999582541737473207e+01	1.198286176232821854e+00	8.345251909220927189e+01
1.775135640439880191e+01	1.645322484735170931e+01	2.412382031947741812e+00	9.909227737585901252e+01	1.126695044086348574e+00	8.875516096823811552e+01
1.659361130476650814e+01	5.008418005464305267e+00	4.500669757992144859e+00	9.660520846476222800e+01	1.205125286590025491e+00	8.297892435977010450e+01
1.799827720569561507e+01	2.341450043653956925e+01	4.650345608809805853e+00	9.586018911517963659e+01	1.111254385701861969e+00	8.998839625441888757e+01
1.695956772368841925e+01	1.866335737651613869e+01	8.023517923399609009e-01	9.989359401664155769e+01	1.179370484707680022e+00	8.479099765226540342e+01
1.757019067439206239e+01	5.572204937051329132e+00	3.851502608659974847e+00	9.629615485338607073e+01	1.138324015481968265e+00	8.784844968561945677e+01
1.787135715008257719e+01	1.081417987178505946e+01	2.457013891627688462e+00	9.861838035895648602e+01	1.119056606622476524e+00	8.936098442939255904e+01
1.686546657998851018e+01	5.417364719985369170e+00	2.081914245782004458e-01	9.999112211299528497e+01	1.185880922284269223e+00	8.432549855627819113e+01
1.566296190264491983e+01	1.279001040110025400e+01	3.904190840486761793e+00	9.610919440375695899e+01	1.276902932359325504e+00	7.831448849070353901e+01
1.937971938000653083e+01	8.486167565703148341e+00	7.197237822782978078e-01	9.992533741958108351e+01	1.031984070623946481e+00	9.690072051164426625e+01
1.592909159044445744e+01	1.483017675329938356e+01	-1.556584372373094993e+00	9.958587876619246515e+01	1.255594897250410513e+00	7.964352214156572529e+01
1.698734920862417397e+01	7.465759816993528197e+00	3.245994181151803826e+00	9.810895117923050179e+01	1.177478035683078517e+00	8.492727419920662157e+01
1.685842922157917201e+01	1.084404904654627444e+01	-7.216876234460933404e+00	9.110492237705084051e+01	1.186431452903886408e+00	8.428636964676043419e+01
1.746388963673548389e+01	1.578096566221484665e+01	-5.931585104803819064e+00	9.375439224086996148e+01	1.145254504434898513e+00	8.731683622527455668e+01
1.733915160933452526e+01	8.303950332479539398e+00	3.437560615075290649e+00	9.834686952176812724e+01	1.153543245809272921e+00	8.668942440024829921e+01
1.558835126043232933e+01	2.331848338258315323e+01	2.469152205323620564e+00	9.863765386075749575e+01	1.283181550607708221e+00	7.793129503197775421e+01
1.531620201508836487e+01	2.104547646691083429e+01	-2.240111718678288732e-01	9.998920235735162976e+01	1.305927544403721940e+00	7.657392665353371797e+01
1.693378161912597335e+01	1.356327905052250316e+01	1.546674397300710435e+00	9.942322840365868331e+01	1.180836148110380845e+00	8.468575437839011499e+01
1.651277425054013648e+01	1.530646182171429004e+01	8.605170444764111082e+00	8.795901001856029211e+01	1.211191188246637074e+00	8.256334835523655613e+01
1.681924171420847713e+01	4.305970277137657121e+00	-6.760614148723160799e-01	9.991729494288956914e+01	1.189077315535304491e+00	8.409882073562350513e+01
1.675101885995082895e+01	5.603427071881283972e+00	3.101046601175948769e+00	9.830091346749351544e+01	1.194058225523208616e+00	8.374800982270551231e+01
1.706116867292319483e+01	5.767203162855164322e+00	5.300929343090476031e+00	9.408220585758679988e+01	1.172226176354290494e+00	8.530776911244836924e+01
1.565914096465247241e+01	1.243064932755906860e+01	6.428038052174124495e+00	8.951056690388649884e+01	1.277277035760448598e+00	7.829155085408960701e+01
1.601237033825446687e+01	2.129082135457916891e+01	1.576703013545542298e+01	6.800758204585784483e+01	1.248972025615098902e+00	8.006584450980925283e+01
1.682969337891657347e+01	6.820450981852004269e+00	3.001411165410959647e+00	9.865068140625766091e+01	1.188409980116734266e+00	8.414604528159320296e+01
1.606676752378843887e+01	8.315597983334965804e+00	5.464807731917518119e+00	9.465402500483438075e+01	1.244860252620263230e+00	8.033030196723967720e+01
1.411475053366180532e+01	2.340078680993871174e+01	1.011518350858357174e+01	7.782783718385962857e+01	1.417012408466053142e+00	7.057101222441104937e+01
1.821732168679612585e+01	6.410766178678086291e+00	-3.774959355914116799e+00	9.835469957797990048e+01	1.097871331861880906e+00	9.108535499365841304e+01
1.886884604745442218e+01	8.352504783124468091e+00	-1.096928639774326975e+00	9.981497179054743185e+01	1.060013158271117195e+00	9.433845157460130793e+01
1.660082245746672314e+01	1.876557274633305283e+01	-7.463444139291819823e+00	9.356898192033322914e+01	1.204890182243826713e+00	8.299511563267397207e+01
1.835400756194623639e+01	2.352470347442852727e+01	-1.504376886725206042e+01	7.794550377862940138e+01	1.089719461271539958e+00	9.176673772836444698e+01
