# 
# sigma	fit_err	rdiff	accuracy	sharper	broadness
8.254492501438284724e-02	4.687488983379435314e-01	7.296785237241618205e+00	5.685116812386814900e+01	2.423134767540705337e+00	4.126885608656933613e+01
6.374205287393644448e-02	6.000499100419491860e-01	1.254835795126176601e+00	9.897672374825239672e+01	3.138163187534400933e+00	3.186577434762665106e+01
7.021887815829515322e-02	6.301032563801578501e-01	2.970730552884863762e+00	9.216350374866873096e+01	2.848566377123531002e+00	3.510537820114956986e+01
8.586380894284764698e-02	5.170161796913935737e-01	6.845125377230617758e+00	6.987900946009828829e+01	2.329310453202588782e+00	4.293116010470357935e+01
8.266238225232781789e-02	5.166431201162053899e-01	2.206343813897740258e+00	9.425809445859614755e+01	2.419495951945679124e+00	4.133092263270094691e+01
8.338512135202251485e-02	4.883901945528091315e-01	-4.846960374083585599e+00	8.162596642693641513e+01	2.398977147666213838e+00	4.168443209110289160e+01
9.331410016165078702e-02	1.066803580156784115e+00	-3.375122647699514200e+00	9.164779329652954232e+01	2.143385967956504157e+00	4.665515287260166843e+01
8.592184614080820848e-02	5.140018304113755931e-01	2.213756162315386078e+00	9.558534343753557039e+01	2.327774113508589426e+00	4.295949483228540799e+01
7.329257487456913855e-02	5.173533662827113355e-01	5.836781017687560968e+00	8.216187958007282077e+01	2.728390516860549564e+00	3.665164476347250400e+01
8.634381774091298700e-02	7.376304222189039583e-01	1.813494861972070771e+00	9.824933536561881908e+01	2.316569249523333429e+00	4.316728283455217507e+01
6.707013215333630651e-02	6.244074911218979729e-01	-3.055416852386057536e-01	9.990793610316356421e+01	2.982094716935582035e+00	3.353347545672880869e+01
5.862800554221322957e-02	1.073348126951240378e+00	4.944795105719045347e-01	9.968869647459274574e+01	3.411775537448788587e+00	2.931025177429364348e+01
5.022449241374819795e-02	5.242629882871888691e-01	4.506413550944134983e+00	8.482414558546425098e+01	3.982910576096303057e+00	2.510726718298836246e+01
8.187567906168363718e-02	4.829038317734586916e-01	-7.693150825569962104e-01	9.941317658454103423e+01	2.442862322423283494e+00	4.093558571929730050e+01
9.688420845529047143e-02	6.047762937482943357e-01	2.520763672085965190e+00	9.572139642105406665e+01	2.064399320353192735e+00	4.844024071025718570e+01
4.421050665386845602e-02	6.256202473256926577e-01	7.406307650394171382e+00	6.583005479339803401e+01	4.523283490997865641e+00	2.210783387753999563e+01
7.334843988941924797e-02	4.690751325182623832e-01	1.549658171503779602e+00	9.817228957373419007e+01	2.726985061446757896e+00	3.667053458186038029e+01
9.471533296600223584e-02	4.813976507458199161e-01	-7.897927593774998201e-01	9.928522491699330033e+01	2.111750626852062496e+00	4.735407615295357431e+01
7.816236218722587281e-02	5.345114484068131944e-01	6.736344184979908611e+00	7.022531854540495999e+01	2.558654974798038939e+00	3.908303424454219055e+01
5.373502687598186861e-02	1.588809573586712487e+00	2.024636197835190110e+00	9.508627840524076191e+01	3.722264075134348094e+00	2.686536956580403057e+01
7.435508481796099245e-02	5.658906055789614253e-01	3.638530943194328238e+00	8.959962112002084211e+01	2.689772809755390348e+00	3.717786113284937954e+01
8.066452197291322512e-02	5.049784331996904907e-01	9.732150684010809627e-01	9.930354727675816662e+01	2.479558380729341316e+00	4.032976225814285698e+01
