# 
# sigma	fit_err	rdiff	accuracy	sharper	broadness
3.483506162142137942e-06	5.120448381511455427e-01	6.231703717015822930e-01	9.842897172224415669e+01	5.740821068938806171e+00	1.741911109911757549e+01
4.136029420831686695e-06	7.486489945231240561e-01	6.203359858149268824e-01	9.902631135950021246e+01	4.835203549060540951e+00	2.068165258925440142e+01
3.179002204019708259e-06	6.315940431079908324e-01	9.084944584916965216e-02	9.997670213777360004e+01	6.292579385294619243e+00	1.589173435518255140e+01
4.292521313793894022e-06	5.412316003238879514e-01	4.443300002617663891e-01	9.935433916420798539e+01	4.658620906405181117e+00	2.146558005235177546e+01
3.108543382292926016e-06	5.778120346551065545e-01	2.057263844336214564e+00	8.312986003077766384e+01	6.435741576936432118e+00	1.553822489678064400e+01
5.169219621583354466e-06	5.529074325044203153e-01	5.417408617227200684e-01	9.920391059262118461e+01	3.868970557527666720e+00	2.584666864560002963e+01
4.789765138685789036e-06	1.297641762787484554e+00	-3.102714042296894625e+00	7.837752959662799412e+01	4.175907144466981968e+00	2.394689262487519343e+01
3.769134035881918795e-06	5.332462173303035291e-01	1.609397849572882011e+00	9.185910675792366931e+01	5.306365003221879206e+00	1.884529238740319101e+01
4.944828284046185501e-06	5.255377085281063287e-01	1.215015980303020271e+00	9.628272736804565568e+01	4.044640908098669385e+00	2.472407372426261674e+01
5.904447792666808369e-06	7.007223448960615553e-01	-1.620106902542677085e+00	9.453753048263473602e+01	3.387758833478084597e+00	2.951803977656041056e+01
3.212138270527451479e-06	6.291416217976364411e-01	-6.550270286688669730e-01	9.830225090632606566e+01	6.227020668795163694e+00	1.605904417518956606e+01
2.387823616394492405e-06	7.205734854214038698e-01	2.972607092231928094e-01	9.960487369621509401e+01	8.384885168005432377e+00	1.192622176646787224e+01
3.276844810181752343e-06	7.203050592899333804e-01	3.425510769522930321e+00	6.471916820072411269e+01	6.102931488801054627e+00	1.638556817875165095e+01
4.024590243798967900e-06	5.368558955874936922e-01	2.195596078976829624e+00	8.553859108502113884e+01	4.969091518605429414e+00	2.012440294681167430e+01
4.539279702419965874e-06	6.116805297215516246e-01	-7.940684764337710977e-01	9.832464287906988432e+01	4.406564004994350192e+00	2.269341824756457271e+01
2.992222852801791870e-06	6.254640395849667689e-01	6.890891990785839027e-01	9.824965111267751183e+01	6.685368933790364565e+00	1.495803761772405238e+01
4.873363019705659341e-06	5.398904677792888407e-01	2.464765439865636232e+00	8.430400501717521422e+01	4.104447028853076773e+00	2.436381790215073551e+01
3.827690819248804545e-06	5.112325109981817883e-01	-4.622243733408023525e-01	9.925455805372929774e+01	5.224446637529960746e+00	1.914078311789944564e+01
4.381159311828546426e-06	5.417988754857110401e-01	-4.837395892373177464e-01	9.932426833105928665e+01	4.564232048281810172e+00	2.190949078446716314e+01
2.185923219621846862e-06	5.565879305622413176e-01	2.161889994263686443e+00	7.861199151743197433e+01	9.152136329958011629e+00	1.092641066465175648e+01
3.473504300408373009e-06	5.771940205433094828e-01	6.225508920602652596e-01	9.867136391411330010e+01	5.760453909528990835e+00	1.735974309846992725e+01
4.982710045397409726e-06	5.176879504916237495e-01	3.519238479826117816e-01	9.964275848171719474e+01	4.013973136915078399e+00	2.491297190814151108e+01
2.540274732610271868e-06	5.338523627761079249e-01	7.222655618403533984e-01	9.777265968900256610e+01	7.877763605442182460e+00	1.269395795666135029e+01
3.030063896907447480e-06	5.841848707751869929e-01	-4.064157265710693218e-02	9.999680580887829251e+01	6.601407321635344161e+00	1.514828507434492444e+01
4.616997465105470451e-06	5.262326642527798137e-01	1.512516581479046440e-01	9.993566032776146812e+01	4.331618936294564293e+00	2.308605661548425658e+01
3.964400961188153224e-06	5.475582219820723795e-01	1.505520319723351041e-01	9.993403275144781617e+01	5.044170693527529892e+00	1.982486439808943146e+01
4.934422999542970807e-06	5.408461612773541871e-01	9.212861474282380003e-01	9.767992443974297601e+01	4.053046046155525772e+00	2.467280136006694136e+01
3.251009213753620191e-06	5.248774936671396496e-01	5.618578048470027619e-01	9.868532932212690412e+01	6.151560424966800333e+00	1.625603799552041195e+01
5.042623566506097049e-06	6.727782776783591823e-01	2.958219990854736303e-01	9.978790945699201131e+01	3.967134139813725646e+00	2.520711336589577201e+01
3.351116519282689919e-06	7.067034587083119712e-01	-6.970383626887732831e-01	9.819604868386484497e+01	5.966830367925283873e+00	1.675931672828346564e+01
4.544113909565493373e-06	5.487547772452860961e-01	1.217667757927529237e+00	9.576432133518652279e+01	4.401853061709330994e+00	2.271770515692042025e+01
4.119471192459278851e-06	7.213827547196728363e-01	-2.884797489536817139e+00	7.639835789785315967e+01	4.854840822743352824e+00	2.059799767925088076e+01
3.536996505210893100e-06	6.944841638376856308e-01	-9.661413260646272150e-01	9.678460535700166645e+01	5.655398702785197962e+00	1.768221928380602392e+01
4.660176992121568972e-06	5.325896930894875592e-01	1.128032711528533572e+00	9.677169996089990889e+01	4.292482335225300538e+00	2.329654316323500396e+01
8.617518259611424731e-07	3.860603305280936759e+00	-3.844593360919436147e-03	1.000000000000000000e+02	2.324780426599748040e+01	4.301481501470708402e+00
2.484950096051768276e-06	6.774033417362901321e-01	9.973362126393459093e-02	9.996134645492725213e+01	8.052368535419384799e+00	1.241870631729497454e+01
3.414350566637224487e-06	5.041656460944595741e-01	-1.733512344964538987e-01	9.989609837980580664e+01	5.857425116573146795e+00	1.707234800442560640e+01
3.264577474432624906e-06	5.773067668336688829e-01	1.826253335359584895e+00	8.824365083115485220e+01	6.126642969331239641e+00	1.632215235987802160e+01
5.210944447268001574e-06	5.396339583950345853e-01	-1.235109031295738014e+00	9.589236692629535241e+01	3.837916213557039491e+00	2.605580592060879397e+01
4.836435254946539160e-06	5.054410618552402923e-01	1.370335325299744778e+00	9.489272468292132601e+01	4.134672245467222673e+00	2.418571390020780143e+01
4.656076925578374666e-06	5.160011555061215782e-01	2.365100257025802843e+00	8.495349329796613347e+01	4.294472128867773186e+00	2.328574898129907211e+01
3.263751656586363598e-06	5.306386436705180509e-01	1.214104068751403753e+00	9.386164957456138325e+01	6.126642969331237865e+00	1.632215235987802870e+01
2.589135884603015521e-06	8.311423819165324467e-01	3.381976628415850339e+00	5.949457801706692095e+01	7.726647206005000434e+00	1.294222414118790532e+01
4.792459691349697405e-06	5.475027837902453065e-01	6.448396268259131148e-01	9.892392705133181607e+01	4.173555580583397706e+00	2.396038535229511979e+01
4.189974462226891768e-06	5.393468790032548421e-01	1.924825862129479148e+00	8.878340854255164061e+01	4.772311654861558949e+00	2.095420568313678800e+01
1.995174794516107568e-06	5.640053531090954975e-01	1.290233062521965568e+00	8.959142414044818281e+01	1.002353259399512631e+01	9.976522654289341929e+00
5.548368829980442760e-06	6.950925010353069533e-01	-8.601637767525434075e-01	9.846769755459536100e+01	3.604240626367748224e+00	2.774509539358285792e+01
4.941968693010726943e-06	6.242598970160965210e-01	5.743612148084888125e-02	9.998940013991565934e+01	4.047070387156663784e+00	2.470923172410071800e+01
3.310811075092449590e-06	7.938303165514701831e-01	-1.388603967014885976e+00	9.352707692222122660e+01	6.041245516791653003e+00	1.655287799875867094e+01
3.185780444462220220e-06	1.511258754780320901e+00	-2.561126345749561217e+00	8.036962270359178717e+01	6.276592140921411378e+00	1.593221253744231447e+01
