# Number of simulations: 50
# Multi compartment simulation; White noise sigma=1; ramp stimulus; gpas parameter; dt=0.1
# --
# The Ra-gpas-cm ball-and-stick simulation was running for 425.121595 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
2.000000000000000164e-05	2.031694679798755854e-09	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
7.874632441766565035e-07	3.081540770385183506e-06	4.380163143428560113e-02	2.537534246575340902e+01	0.000000000000000000e+00
2.834147002536541302e-06	2.601300650325162828e-06	6.569233373367293893e+01	7.058106305963036675e+00	0.000000000000000000e+00
1.696711211217345587e-06	6.003001500750292357e-07	9.417724666428134128e+01	1.178746420617244617e+01	0.000000000000000000e+00
8.273467234305455480e-09	8.273467234305455480e-09	8.273467234305455480e-09	8.273467234305455480e-09	8.273467234305455480e-09
6.778743649462568973e-07	5.602801400700309006e-07	7.014843535920368822e+01	2.944992050874402523e+01	0.000000000000000000e+00
1.517524999778642052e-06	8.004002001000480159e-07	8.674648164872942857e+01	1.316560056858564032e+01	0.000000000000000000e+00
9.538046340559219150e-07	9.204602301150701261e-07	6.403082216190404097e+01	2.095475113122171251e+01	0.000000000000000000e+00
8.128595475354985558e-07	5.602801400700444532e-07	7.990881759129403861e+01	2.461661129568105366e+01	0.000000000000000000e+00
1.269623803207854620e-06	2.521260630315152605e-06	1.371444588532400033e+01	1.575170068027210846e+01	0.000000000000000000e+00
6.326409725481692944e-07	5.202601300650325656e-07	7.116758195787348029e+01	3.163791631084544420e+01	0.000000000000000000e+00
7.937689250052541038e-07	9.604802401200616849e-07	4.753378170034932282e+01	2.513432835820895050e+01	0.000000000000000000e+00
7.170459826302914186e-07	6.003001500750427882e-07	7.187315711027160603e+01	2.787659894657635107e+01	0.000000000000000000e+00
9.691823360077423615e-07	2.961480740370174948e-06	9.884051174132796325e-01	2.067410714285713524e+01	0.000000000000000000e+00
8.206179534117696468e-07	1.000500250125066796e-06	4.734074610854905529e+01	2.442188529993406121e+01	0.000000000000000000e+00
9.639896624421535109e-07	3.041520760380185171e-06	6.582883186930350572e-01	2.075518207282911121e+01	0.000000000000000000e+00
7.884857826505294963e-07	3.041520760380185171e-06	5.469419961612274200e-02	2.530601092896172943e+01	0.000000000000000000e+00
9.484889443943469081e-07	2.801400700350290028e-07	9.518140199573886662e+01	2.113405590416427415e+01	0.000000000000000000e+00
9.198319528620870905e-07	3.601800900450392254e-07	9.220501352189945976e+01	2.179294117647058471e+01	0.000000000000000000e+00
7.665952262236164225e-07	7.791984360861668952e-08	9.955066454755659322e+01	2.615532646048108489e+01	0.000000000000000000e+00
2.654252624905652951e-06	3.201600800400408904e-07	9.923056275724992759e+01	7.531612116283796787e+00	0.000000000000000000e+00
8.423813392245863819e-07	5.602801400700309006e-07	8.077297448806656632e+01	2.379447655748233004e+01	0.000000000000000000e+00
6.815656437762642497e-07	5.202601300650325656e-07	7.375464368004000448e+01	2.931012658227849244e+01	0.000000000000000000e+00
7.874542139777715396e-07	1.000500250125066796e-06	4.424500145964078968e+01	2.546254295532645884e+01	0.000000000000000000e+00
3.775392387389180627e-06	2.401200600300171153e-07	9.976720807120878476e+01	5.299384923473036579e+00	0.000000000000000000e+00
7.874541915792845980e-07	1.000500250125066796e-06	4.424500813000310728e+01	2.546254295532645884e+01	0.000000000000000000e+00
6.715512934429448485e-07	5.202601300650325656e-07	7.329814929501161203e+01	2.975742971887551391e+01	0.000000000000000000e+00
8.071368249464814246e-07	6.003001500750292357e-07	7.659843132487181094e+01	2.486442953020135249e+01	0.000000000000000000e+00
1.007470188630579132e-06	0.000000000000000000e+00	1.000000000000000000e+02	1.984359935725762014e+01	0.000000000000000000e+00
8.407848708028963097e-07	2.601300650325162828e-06	8.819961893380533491e-01	2.377920410783052674e+01	0.000000000000000000e+00
1.943864622426648723e-06	8.804402201100582385e-07	9.039608205396770302e+01	1.028539700166573745e+01	0.000000000000000000e+00
8.326032378860652517e-07	3.121560780390195394e-06	9.016716458145143664e-02	2.402594033722437317e+01	0.000000000000000000e+00
7.985366773999064015e-07	9.204602301150701261e-07	5.054841480495918660e+01	2.508327691266078219e+01	0.000000000000000000e+00
7.952024055041085509e-07	1.000500250125066796e-06	4.542498406845514580e+01	2.520272108843537140e+01	0.000000000000000000e+00
6.630199839316405356e-07	5.642821410705361551e-06	2.025357732594684858e-14	3.016938110749182300e+01	0.000000000000000000e+00
3.621243099009174543e-06	1.080540270135036361e-06	9.566873230669276040e+01	5.521311475409833136e+00	0.000000000000000000e+00
7.874665764469763914e-07	1.000500250125066796e-06	4.425092882880713319e+01	2.546254295532642331e+01	0.000000000000000000e+00
1.348603138063907200e-06	2.881440720360178278e-06	1.018783572151575001e+01	1.481327469012395071e+01	0.000000000000000000e+00
7.938559563791168436e-07	9.604802401200684611e-07	4.758222763306151393e+01	2.510027100271001643e+01	0.000000000000000000e+00
8.074275552938863357e-07	3.081540770385169953e-06	6.520953232661354237e-02	2.484775318578131120e+01	0.000000000000000000e+00
4.261169030232920251e-07	2.601300650325135723e-06	1.016653332046757123e-06	4.695564005069712010e+01	0.000000000000000000e+00
7.877793433231040294e-07	1.000500250125066796e-06	4.440127349161821257e+01	2.539273474982863021e+01	0.000000000000000000e+00
3.335601582689912153e-07	3.561780890445204184e-06	1.526242550205966391e-23	6.014285714285692563e+01	0.000000000000000000e+00
7.878183494754238862e-07	1.000500250125066796e-06	4.442010014278550045e+01	2.537534246575339836e+01	0.000000000000000000e+00
1.048696958939548629e-06	1.440720360180089139e-06	3.943728332980123952e+01	1.906742151312403166e+01	0.000000000000000000e+00
1.056543929224472805e-06	1.440720360180089139e-06	4.001151591387657902e+01	1.895038363171354945e+01	0.000000000000000000e+00
9.949772121918298059e-07	5.282641320660322326e-06	8.242620936792196585e-05	2.008021680216803162e+01	0.000000000000000000e+00
4.849336998634740286e-07	2.561280640320137388e-06	7.932539394444777250e-05	4.139441340782109791e+01	0.000000000000000000e+00
2.855587479342916130e-07	2.681340670335186603e-06	1.129961629148712071e-17	6.990188679245292747e+01	0.000000000000000000e+00
7.774139205847830268e-07	6.003001500750292357e-07	7.413337077647852880e+01	2.572777777777779562e+01	0.000000000000000000e+00
