# Number of simulations: 50
# Multi compartment simulation; White noise sigma=1; steps stimulus; Ra parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.4
# The Ra-gpas-cm ball-and-stick simulation was running for 691.429625 minutes
# sigma	diff	accuracy	sharper	sigma_err
5.816824247249793522e+00	1.100550275137578637e+00	9.820111273460216239e+01	3.439712196820239321e+00	0.000000000000000000e+00
1.459145660387100030e+00	2.201100550275157275e+00	3.198015118007440805e+01	1.371587228135122771e+01	0.000000000000000000e+00
7.150824611530858022e+00	8.354177088544261665e+00	5.043242319965746390e+01	2.795962645033488236e+00	0.000000000000000000e+00
5.888957800301751533e+00	2.401200600300157362e+00	9.190299706736423957e+01	3.397524071526824674e+00	0.000000000000000000e+00
1.478753528070945455e-01	1.478753528070945455e-01	1.478753528070945455e-01	1.478753528070945455e-01	1.478753528070945455e-01
6.451494943717007935e+00	1.400700350175100084e+00	9.760138031824936888e+01	3.099769922610332351e+00	0.000000000000000000e+00
6.916863744192549568e+00	8.554277138569275962e+00	4.644176192626567001e+01	2.891143191572376203e+00	0.000000000000000000e+00
5.549585811574876182e+00	4.252126063031525405e+00	7.449507737324363177e+01	3.605400802822041673e+00	0.000000000000000000e+00
9.174211341335942294e+00	1.850925462731368043e+00	9.795068643352047388e+01	2.179892623372804206e+00	0.000000000000000000e+00
6.335548411546559677e+00	3.151575787893946767e+00	8.830370386775862812e+01	3.158231220031967545e+00	0.000000000000000000e+00
1.264609304509305643e+00	5.302651325662836257e+00	1.523890144662719617e-02	1.584179583110635647e+01	0.000000000000000000e+00
1.238704012243309283e+00	2.501250625312664511e+00	1.329363990648447569e+01	1.617021276595744794e+01	0.000000000000000000e+00
7.391441957357268500e+00	2.901450725362678895e+00	9.247911359301906487e+01	2.705120014602538703e+00	0.000000000000000000e+00
7.084814171442912922e+00	3.001500750375214466e-01	9.989836366252318101e+01	2.823663903972564615e+00	0.000000000000000000e+00
7.484373209305158703e+00	6.853426713356697064e+00	6.567275962911988074e+01	2.673401280779291067e+00	0.000000000000000000e+00
7.722258724433852528e+00	1.860930465232617337e+01	5.494353154603713207e+00	2.590229834833523537e+00	0.000000000000000000e+00
7.020053828213771219e+00	7.703851925962979408e+00	5.494122137702242981e+01	2.849178121695664867e+00	0.000000000000000000e+00
1.141273487456683000e+00	5.852926463231625576e+00	1.753627282706161276e-04	1.752808988764046205e+01	0.000000000000000000e+00
7.595476552930188419e+00	1.350675337668832299e+00	9.838052220459661612e+01	2.633730229251821431e+00	0.000000000000000000e+00
5.749014150907879817e+00	6.203101550775386386e+00	5.584910804228925230e+01	3.479690068091101374e+00	0.000000000000000000e+00
7.749816623054302411e+00	4.102051025512764681e+00	8.698421103414483468e+01	2.581431806305523491e+00	0.000000000000000000e+00
6.231051602781017884e+00	9.154577288644333066e+00	3.405676562231274573e+01	3.210571923743500200e+00	0.000000000000000000e+00
6.644697831405211197e+00	1.000500250125071489e-01	9.998327916259064807e+01	3.010359536867765140e+00	0.000000000000000000e+00
7.797795025374896660e+00	2.251125562781382428e+00	9.592008774009434546e+01	2.565123323236693675e+00	0.000000000000000000e+00
6.759981522925740727e+00	7.003501750875500420e-01	9.949172785613060910e+01	2.958674386105010878e+00	0.000000000000000000e+00
5.223204609791268993e+00	3.601800900450228937e+00	7.898037394948151757e+01	3.829952190205451856e+00	0.000000000000000000e+00
5.669988133395622576e+00	4.252126063031511194e+00	7.544826905201583145e+01	3.526891956211329227e+00	0.000000000000000000e+00
5.868696253696919385e+00	7.103551775887936515e+00	4.803298589654654904e+01	3.407288194045290819e+00	0.000000000000000000e+00
5.241585903165788096e+00	6.403201600800400684e+00	4.734250450260068988e+01	3.815653964984552449e+00	0.000000000000000000e+00
6.936358816196554145e+00	3.651825912956496722e+00	8.695519435489161708e+01	2.884110148876130264e+00	0.000000000000000000e+00
1.412463290496987156e+00	5.052526263131568385e+00	1.607066836214396666e-01	1.413447782546495723e+01	0.000000000000000000e+00
6.000815234956249355e+00	4.902451225612793451e+00	7.155799115824498813e+01	3.337837837837838162e+00	0.000000000000000000e+00
6.852252402436390000e+00	6.653326663331654345e+00	6.231483723660663543e+01	2.919334186939821940e+00	0.000000000000000000e+00
4.071642496390912136e+00	1.010505252626313677e+01	4.619415359585869574e+00	4.912978617603181775e+00	0.000000000000000000e+00
6.318482347314404279e+00	2.301150575287650213e+00	9.353081794865627785e+01	3.165313968389576349e+00	0.000000000000000000e+00
8.812614509224506065e+00	3.001500750375186044e+00	9.437523839671095516e+01	2.269699058120837165e+00	0.000000000000000000e+00
6.840331874757302977e+00	2.401200600300143151e+00	9.404245047084940268e+01	2.924518993586580073e+00	0.000000000000000000e+00
4.959186680708613792e+00	6.803401700850415068e+00	3.916653126256706940e+01	4.034848897359107234e+00	0.000000000000000000e+00
9.553099411399651464e-01	5.952976488244118514e+00	3.368664746946614536e-07	2.096181046676095505e+01	0.000000000000000000e+00
7.008982541655999654e+00	4.502251125562821699e-01	9.979697551804824229e+01	2.853841709994223041e+00	0.000000000000000000e+00
6.641969554792788166e+00	1.900950475237621617e+00	9.600963462154830097e+01	3.010665312341289646e+00	0.000000000000000000e+00
6.404831602280633085e+00	1.750875437718846683e+00	9.642142519769832631e+01	3.123287671232876761e+00	0.000000000000000000e+00
5.453259544230937728e+00	7.503751875937979321e+00	3.891346130689218796e+01	3.666955338364469519e+00	0.000000000000000000e+00
1.459864402612164769e+00	6.203101550775386386e+00	1.157912061042178087e-02	1.370952821461610327e+01	0.000000000000000000e+00
7.419747099278064084e+00	8.604302151075529537e+00	5.103304979612889269e+01	2.695035460992907694e+00	0.000000000000000000e+00
7.620818935919478676e+00	2.251125562781382428e+00	9.582077827212694388e+01	2.625797306874558146e+00	0.000000000000000000e+00
1.483196527785166641e+00	3.601800900450214726e+00	5.395964229660655143e+00	1.346660608814175397e+01	0.000000000000000000e+00
1.181548213926934876e+00	5.902951475737864939e+00	4.028980027105592116e-04	1.691780821917808808e+01	0.000000000000000000e+00
4.793307653460554540e+00	3.201600800400200342e+00	7.976946510850528682e+01	4.172297297297298257e+00	0.000000000000000000e+00
1.873399316298588024e+00	5.002501250625329021e+00	2.799244158557605111e+00	1.068878470970068228e+01	0.000000000000000000e+00
