# Number of simulations: 50
# Multi compartment simulation; White noise sigma=1; steps stimulus; gpas parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.4
# The Ra-gpas-cm ball-and-stick simulation was running for 691.429625 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
1.521282204570702400e-06	6.003001500750427882e-07	9.214574385067967910e+01	1.315579227696404807e+01	0.000000000000000000e+00
8.792023787288989909e-07	3.501750875437828654e-07	9.285065350346326341e+01	2.278247501921601170e+01	0.000000000000000000e+00
2.724210927654428284e-06	2.651325662831417523e-06	6.258690068065657641e+01	7.340267459138193118e+00	0.000000000000000000e+00
1.582298678231535552e-06	7.503751875938068734e-07	8.911895651750594993e+01	1.264505119453925097e+01	0.000000000000000000e+00
2.183294021547596956e-09	2.183294021547596956e-09	2.183294021547596956e-09	2.183294021547596956e-09	2.183294021547596956e-09
1.652470557443772719e-06	3.001500750375010653e-07	9.851767443618189191e+01	1.211774325429272459e+01	0.000000000000000000e+00
1.518601195832825611e-06	1.800900450225101260e-06	4.906963987288443718e+01	1.322033898305084421e+01	0.000000000000000000e+00
1.687149426425479313e-06	1.300650325162581414e-06	7.448746741319295950e+01	1.184652278177457951e+01	0.000000000000000000e+00
3.051759731092430229e-06	1.250625312656340271e-06	9.219499986784363443e+01	6.561877352224930071e+00	0.000000000000000000e+00
1.626145431643971974e-06	7.503751875938068734e-07	8.971554164996796032e+01	1.230897009966778022e+01	0.000000000000000000e+00
6.237358373936678120e-07	4.502251125562922555e-07	7.846639873392963693e+01	3.207792207792208927e+01	0.000000000000000000e+00
8.257952585834111479e-07	6.003001500750427882e-07	7.734752830972387017e+01	2.425531914893616658e+01	0.000000000000000000e+00
8.338686148942669355e-07	2.001000500250052277e-07	9.740191738525160758e+01	2.399999999999998224e+01	0.000000000000000000e+00
2.299713862160241982e-06	1.500750375187640852e-07	9.984276220653593725e+01	8.686987104337635657e+00	0.000000000000000000e+00
2.389964801653986191e-06	2.251125562781407068e-06	6.371447220153000046e+01	8.363431151241536909e+00	0.000000000000000000e+00
1.555786704065953630e-06	3.551775887943974929e-06	7.286932258704914567e+00	1.284785435630689854e+01	0.000000000000000000e+00
1.771841485739334775e-06	1.750875437718860117e-06	6.064904147231558795e+01	1.128283212790255696e+01	0.000000000000000000e+00
6.724057579475664784e-07	4.502251125562922555e-07	8.158540520881878422e+01	2.972918756268809304e+01	0.000000000000000000e+00
8.306379121736740752e-07	1.000500250124958376e-07	9.942267898531457604e+01	2.401944894651539286e+01	0.000000000000000000e+00
1.655730568702247713e-06	2.251125562781379963e-06	3.994624311946598283e+01	1.208316347329800422e+01	0.000000000000000000e+00
2.308582169458912098e-06	5.502751375687880931e-07	9.731418850938165122e+01	8.664133294358379089e+00	0.000000000000000000e+00
2.300775876768183294e-06	4.352176088044022945e-06	1.645661724017815786e+01	8.684441840023440662e+00	0.000000000000000000e+00
8.302691631240451863e-07	1.000500250124958376e-07	9.909649431079508020e+01	2.405844155844153320e+01	0.000000000000000000e+00
2.480961076337279931e-06	3.001500750375010653e-07	9.915913803656410153e+01	8.054347826086960538e+00	0.000000000000000000e+00
6.259241487069928259e-07	0.000000000000000000e+00	1.000000000000000000e+02	3.197411003236246074e+01	0.000000000000000000e+00
1.471736115884723224e-06	8.504252126063027110e-07	8.437946775204147798e+01	1.360881542699724633e+01	0.000000000000000000e+00
1.246486448515561657e-06	6.503251625812839307e-07	8.760059087681571555e+01	1.604764482945317283e+01	0.000000000000000000e+00
1.001730527714414445e-06	1.550775387693841337e-06	2.926678010790185880e+01	1.991935483870967261e+01	0.000000000000000000e+00
9.840634468348979217e-07	1.850925462731369507e-06	1.651416194496995615e+01	2.025974025974025139e+01	0.000000000000000000e+00
1.785230221419274228e-06	8.004002001000615684e-07	9.067508021381834737e+01	1.120181405895692528e+01	0.000000000000000000e+00
7.726936553509064697e-07	4.002001000500375605e-07	8.760997580608959368e+01	2.595446584938708412e+01	0.000000000000000000e+00
1.263526389844190479e-06	1.150575287643803776e-06	6.554859409796793557e+01	1.582487987186333100e+01	0.000000000000000000e+00
2.104281327933002599e-06	2.651325662831417523e-06	4.573190015549129583e+01	9.500000000000007105e+00	0.000000000000000000e+00
1.110073258355673528e-06	2.151075537768897677e-06	1.499602360559858205e+01	1.805115712545676132e+01	0.000000000000000000e+00
2.161592920083722774e-06	8.004002001000480159e-07	9.327306913584656911e+01	9.236522281084457831e+00	0.000000000000000000e+00
3.135967810819927932e-06	1.450725362681331947e-06	8.963182824813054594e+01	6.378308586184638251e+00	0.000000000000000000e+00
1.781279861143333537e-06	2.501250625312599228e-07	9.889691659010350122e+01	1.123578468536771169e+01	0.000000000000000000e+00
1.189490312259426299e-06	1.250625312656313166e-06	5.842382731237449889e+01	1.681225184344867785e+01	0.000000000000000000e+00
3.052679364040416612e-07	1.200600300150085576e-06	4.136168065144296691e-02	6.572062084257106562e+01	0.000000000000000000e+00
8.302888674970294820e-07	1.000500250124958376e-07	9.910563836618248956e+01	2.405844155844153320e+01	0.000000000000000000e+00
1.547446686715262942e-06	5.002501250625198456e-07	9.453723064756688643e+01	1.292066259808195916e+01	0.000000000000000000e+00
2.100094490520593374e-06	1.100550275137576186e-06	8.716535036399294256e+01	9.536679536679537605e+00	0.000000000000000000e+00
1.850701467603830567e-06	2.151075537768884125e-06	5.089702988034561315e+01	1.080962800875274077e+01	0.000000000000000000e+00
7.816981925727533800e-07	6.003001500750292357e-07	7.335112590718399872e+01	2.557377049180335149e+01	0.000000000000000000e+00
2.188943962614557063e-06	2.951475737868932141e-06	4.058124749754050953e+01	9.142504626773600762e+00	0.000000000000000000e+00
2.473928006743062079e-06	6.503251625812839307e-07	9.640386791171565051e+01	8.080697928026172150e+00	0.000000000000000000e+00
8.769820975341860849e-07	5.002501250625198456e-07	8.397225122972412237e+01	2.280000000000001847e+01	0.000000000000000000e+00
6.915603706856984747e-07	4.502251125562651505e-07	7.974164267589090116e+01	2.886075949367097238e+01	0.000000000000000000e+00
1.200784382121984070e-06	8.504252126063027110e-07	7.767903373150159041e+01	1.663299663299664033e+01	0.000000000000000000e+00
1.147113538785565648e-06	7.503751875938068734e-07	8.181110559992919207e+01	1.741480611045830429e+01	0.000000000000000000e+00
