# Number of simulations: 50
# Multi compartment simulation; White noise sigma=1; steps stimulus; cm parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.4
# The Ra-gpas-cm ball-and-stick simulation was running for 691.429625 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
2.744026605586346798e-02	9.504752376188196905e-03	9.417929107819800549e+01	7.278978388998030624e+00	0.000000000000000000e+00
1.443216881073652869e-02	5.502751375687786606e-03	9.252896181489164462e+01	1.385694249649368359e+01	0.000000000000000000e+00
3.578100312540560130e-02	2.451225612806406939e-02	7.928022218197060056e+01	5.592452830188681112e+00	0.000000000000000000e+00
3.272657464599056792e-02	2.151075537768876167e-02	8.082135528691019033e+01	6.111340206185570167e+00	0.000000000000000000e+00
1.670241013421537579e-03	1.670241013421537579e-03	1.670241013421537579e-03	1.670241013421537579e-03	1.670241013421537579e-03
3.370873213773868671e-02	3.501750875437581456e-03	9.951348922760119819e+01	5.935122146575892543e+00	0.000000000000000000e+00
2.783255641085775889e-02	3.351675837918977052e-02	4.820091764361024644e+01	7.190684133915574705e+00	0.000000000000000000e+00
3.397822179834822376e-02	1.250625312656339361e-02	9.366132970541470115e+01	5.891472868217054959e+00	0.000000000000000000e+00
2.892795467222849734e-02	6.503251625812889181e-03	9.735925910550491835e+01	6.921999065857079358e+00	0.000000000000000000e+00
2.409345320826445855e-02	7.003501750875384957e-03	9.609216407967542750e+01	8.304847296161391057e+00	0.000000000000000000e+00
9.947461725544426078e-03	2.851425712856414663e-02	1.567070685864272894e+00	2.020449897750510360e+01	0.000000000000000000e+00
1.071743481635441773e-02	2.751375687843915507e-02	3.922258943611066861e+00	1.864150943396228044e+01	0.000000000000000000e+00
2.984118196788283425e-02	1.300650325162588938e-02	9.100251002814037804e+01	6.727190195188380351e+00	0.000000000000000000e+00
3.476170944847138677e-02	4.002001000500188255e-03	9.932113230035575668e+01	5.753105590062115304e+00	0.000000000000000000e+00
2.864410296805034242e-02	2.151075537768876167e-02	7.581965340186765445e+01	6.975759002118150143e+00	0.000000000000000000e+00
2.957704781199591015e-02	6.253126563281630190e-02	1.062873370808865481e+01	6.756325507180307888e+00	0.000000000000000000e+00
2.960215789389711305e-02	2.801400700350176187e-02	6.418933978913482008e+01	6.757865937072503826e+00	0.000000000000000000e+00
9.109270784595705286e-03	2.351175587793874477e-02	3.661553199360723099e+00	2.193930421909701067e+01	0.000000000000000000e+00
2.719731354176499818e-02	1.150575287643818001e-02	9.113378359149379548e+01	7.343904856293362649e+00	0.000000000000000000e+00
2.938932994107628510e-02	3.651825912956485620e-02	4.631987720429306421e+01	6.813793103448276156e+00	0.000000000000000000e+00
3.506365018856271581e-02	1.500750375187587249e-02	9.099583979306393644e+01	5.704387990762128879e+00	0.000000000000000000e+00
2.525678931060756222e-02	3.601800900450213838e-02	3.603987483821406101e+01	7.912439935931662838e+00	0.000000000000000000e+00
3.202781023534437971e-02	7.003501750875162912e-03	9.755590169970693637e+01	6.241313960833858587e+00	0.000000000000000000e+00
3.016221700311061057e-02	8.004002001000376509e-03	9.668575267018103148e+01	6.630872483221479818e+00	0.000000000000000000e+00
2.762316783408821225e-02	5.502751375687897628e-03	9.786735103100139099e+01	7.252263273794962828e+00	0.000000000000000000e+00
2.708689145597520734e-02	2.601300650325166774e-02	6.297622380790770791e+01	7.385995514577625265e+00	0.000000000000000000e+00
2.261082844724702709e-02	6.003001500750393404e-03	9.658029950663772922e+01	8.834575260804765406e+00	0.000000000000000000e+00
2.941677653081400945e-02	2.551275637818894992e-02	6.857899871476774933e+01	6.799724707501721532e+00	0.000000000000000000e+00
2.627008477859405292e-02	2.401200600300135157e-02	6.551411267511795700e+01	7.611710323574732762e+00	0.000000000000000000e+00
2.944078732916587809e-02	2.001000500250127434e-02	7.948336428566010170e+01	6.790378006872853867e+00	0.000000000000000000e+00
9.754691697799314221e-03	8.004002001000487532e-03	7.025596637815858969e+01	2.052631578947366719e+01	0.000000000000000000e+00
2.661382361301005764e-02	6.003001500750393404e-03	9.752685661882983936e+01	7.515212981744421761e+00	0.000000000000000000e+00
2.970966440823244806e-02	3.301650825412705270e-02	5.346807517851225100e+01	6.730245231607630885e+00	0.000000000000000000e+00
2.477704838249527794e-02	6.053026513256609675e-02	5.133477578407817710e+00	8.067501360914533848e+00	0.000000000000000000e+00
2.950233226749090013e-02	8.504252126062983308e-03	9.594462303858284713e+01	6.767123287671234166e+00	0.000000000000000000e+00
3.814292632302998531e-02	7.003501750875495979e-03	9.822599989223797934e+01	5.245089364714208280e+00	0.000000000000000000e+00
2.772802924265982058e-02	2.501250625312589904e-03	9.965969077218004202e+01	7.220462850182700620e+00	0.000000000000000000e+00
2.540793844873226112e-02	3.451725862931465105e-02	3.954739784332720376e+01	7.872509960159361775e+00	0.000000000000000000e+00
7.827200817321650766e-03	2.451225612806395837e-02	7.746167783799851048e-01	2.555172413793109953e+01	0.000000000000000000e+00
2.970239231943632569e-02	7.503751875937991755e-03	9.690876804072189543e+01	6.734832992501706528e+00	0.000000000000000000e+00
2.734179221789946601e-02	5.002501250624957763e-04	9.998932419368095736e+01	7.316711922981980365e+00	0.000000000000000000e+00
3.588806868523374688e-02	9.504752376188196905e-03	9.672159523870791986e+01	5.573523881158330084e+00	0.000000000000000000e+00
3.791966091311013004e-02	5.352676338169093384e-02	3.724878610789021849e+01	5.277777777777781232e+00	0.000000000000000000e+00
