# Number of simulations: 50
# Multi compartment simulation; White noise sigma=7; steps stimulus; Ra parameter; dt=0.1
# --
# The Ra-gpas-cm ball-and-stick simulation was running for 208.859579 minutes
# sigma	diff	accuracy	sharper	sigma_err
6.664958544019969899e-01	5.059843227963344248e+01	0.000000000000000000e+00	3.000785046820920954e+01	0.000000000000000000e+00
1.097474473894530078e+01	1.715999632673670305e+01	2.947305249855792297e+01	1.822375682743990755e+00	0.000000000000000000e+00
1.017392783672545775e+01	1.475581654990615732e+01	3.495693160317727433e+01	1.965819716587810184e+00	0.000000000000000000e+00
1.140111166870213921e+01	4.926901986160601155e-01	9.990855612314206269e+01	1.754224370197156935e+00	0.000000000000000000e+00
7.947144296188268786e-02	7.947144296188268786e-02	7.947144296188268786e-02	7.947144296188268786e-02	7.947144296188268786e-02
1.279099188042829915e+01	4.277152989236910230e+00	9.455028112855080735e+01	1.563608836870497898e+00	0.000000000000000000e+00
1.403115818816685412e+01	4.990155393196559430e+00	9.385965107622737946e+01	1.425406774577134827e+00	0.000000000000000000e+00
1.475940359908525856e+01	2.434627970473357550e+00	9.865422550977082494e+01	1.355075616864086507e+00	0.000000000000000000e+00
1.192986400131244196e+01	2.091954107493114634e+01	2.147687724873923898e+01	1.676474093449530578e+00	0.000000000000000000e+00
1.308891330641523076e+01	1.240656923457203220e+01	6.378899080174690539e+01	1.528018978227465352e+00	0.000000000000000000e+00
1.394269882172679687e+01	1.180037551490077874e+01	6.987543228810396556e+01	1.434450259042421294e+00	0.000000000000000000e+00
1.223592840800565540e+01	6.596482434611900203e+00	8.649372950783632064e+01	1.634539470130513594e+00	0.000000000000000000e+00
1.494385674464996505e+01	9.842115637356798175e+00	8.048483257682627823e+01	1.338349816805938453e+00	0.000000000000000000e+00
1.283477468531416932e+01	7.073388128180411627e+00	8.592914545329755072e+01	1.558274954328652484e+00	0.000000000000000000e+00
1.317112165116251177e+01	8.362305008679982166e+00	8.176621231476492824e+01	1.518481756245204428e+00	0.000000000000000000e+00
1.428489009510754393e+01	6.740725877506150709e+00	8.944916911581336194e+01	1.400088331335943570e+00	0.000000000000000000e+00
1.104930575442613261e+01	4.101964333450354161e-01	9.992942633096248528e+01	1.810078242116235803e+00	0.000000000000000000e+00
1.151775854937931598e+01	5.341451719450532210e+00	8.982252255612336000e+01	1.736458343941779336e+00	0.000000000000000000e+00
1.422723412165956347e+01	1.353151873430874730e+01	6.359535899072139387e+01	1.405762199845173699e+00	0.000000000000000000e+00
1.501466090992844471e+01	8.432436118140216763e+00	8.539420607404385066e+01	1.332038602573529351e+00	0.000000000000000000e+00
1.393944804724374720e+01	3.668034180314862169e+00	9.658797661192578232e+01	1.434784782639302536e+00	0.000000000000000000e+00
1.176367507983358074e+01	2.928837068800362431e+00	9.695841548648517971e+01	1.700158139428941784e+00	0.000000000000000000e+00
1.220246292197318816e+01	5.440121684624443787e-02	9.999918251779158140e+01	1.639022225632985830e+00	0.000000000000000000e+00
1.428644149849226075e+01	1.239266281805839753e+01	6.862373766610214432e+01	1.399936291951163536e+00	0.000000000000000000e+00
1.698922892171354704e+01	1.767748839467017774e+00	9.945708213873221837e+01	1.177222817394306897e+00	0.000000000000000000e+00
1.456785214409954676e+01	1.217888605780004241e+00	9.965400842350975097e+01	1.372893391472068902e+00	0.000000000000000000e+00
1.328050388309268470e+01	6.529902661847231116e+00	8.859762377280742385e+01	1.505975082921249486e+00	0.000000000000000000e+00
1.288558714770033831e+01	1.443640922368346935e+01	5.336417669282121778e+01	1.552130120833945970e+00	0.000000000000000000e+00
1.387167608181096945e+01	3.842205379963345990e+00	9.622707507090250090e+01	1.441794619382825271e+00	0.000000000000000000e+00
1.432408675100507267e+01	3.700377779420250590e+00	9.670954549647939302e+01	1.396257107642350670e+00	0.000000000000000000e+00
1.268462974708736191e+01	6.946068610597180282e+00	8.605811908892343354e+01	1.576719883461232818e+00	0.000000000000000000e+00
1.278597948061914202e+01	8.178204476508881271e+00	8.148030142139768373e+01	1.564221807714647916e+00	0.000000000000000000e+00
1.062180840782378866e+01	1.200167562236238439e+01	5.278838175023741286e+01	1.882928703726649777e+00	0.000000000000000000e+00
1.473785026558661038e+01	4.791480003515289354e-01	9.994605817369490808e+01	1.357057343924670922e+00	0.000000000000000000e+00
1.052430486934514775e+01	5.081466291564083804e+00	8.901780077988985340e+01	1.900373296371538956e+00	0.000000000000000000e+00
1.339429933729055477e+01	7.923000129009167836e+00	8.393151458381476004e+01	1.493180601160297050e+00	0.000000000000000000e+00
1.384097376576419869e+01	1.468519269171508768e+01	5.693626538138000370e+01	1.444992836128839331e+00	0.000000000000000000e+00
1.192539945412222657e+01	1.108252335512214870e+01	6.495801236121938871e+01	1.677101720031951571e+00	0.000000000000000000e+00
1.388801158709868844e+01	4.047017842226750872e+00	9.585311886176211260e+01	1.440098736319866291e+00	0.000000000000000000e+00
1.404990148151323837e+01	6.560706729692327599e+00	8.968573163327523901e+01	1.423505208409644451e+00	0.000000000000000000e+00
1.259124530826639621e+01	1.819818796475661316e+01	3.516822853085160006e+01	1.588413810304054374e+00	0.000000000000000000e+00
1.577015968903041276e+01	1.728121562531973154e+01	5.483972190062576857e+01	1.268224820227304317e+00	0.000000000000000000e+00
1.383479021301553935e+01	5.320980678628373539e+00	9.288361232931153211e+01	1.445638685417918845e+00	0.000000000000000000e+00
1.252635791952869937e+01	5.045503015946792402e+00	9.219344911080284533e+01	1.596641902224119614e+00	0.000000000000000000e+00
1.303611599707079627e+01	1.243528790388121763e+01	6.342331919393855344e+01	1.534207576940131768e+00	0.000000000000000000e+00
1.366232564628365687e+01	7.391072268469784490e+00	8.637008464307805866e+01	1.463887514789020017e+00	0.000000000000000000e+00
1.070773589932360714e+01	8.438852485714960494e-01	9.968624675659350487e+01	1.867818568240915189e+00	0.000000000000000000e+00
1.338910941843337632e+01	2.208941215932722457e+01	2.562649125192681510e+01	1.493759391423109983e+00	0.000000000000000000e+00
1.503600112455039550e+01	2.624660851242636284e+01	2.178141824760945156e+01	1.330148074006247016e+00	0.000000000000000000e+00
1.134135319537142728e+01	2.359698505821441472e+00	9.786774821737776620e+01	1.763467515035050504e+00	0.000000000000000000e+00
