# Number of simulations: 50
# Multi compartment simulation; White noise sigma=7; steps stimulus; cm parameter; dt=0.1
# --
# The Ra-gpas-cm ball-and-stick simulation was running for 208.859579 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
7.716886288220143990e-03	5.055314132978652175e-01	0.000000000000000000e+00	2.591732881577746994e+01	0.000000000000000000e+00
7.037543443728902504e-02	1.658823839167578029e-02	9.724394499978325257e+01	2.841916088546267982e+00	0.000000000000000000e+00
5.628195823493806205e-02	2.982611131607770805e-02	8.685849472479570466e+01	3.553555804346733016e+00	0.000000000000000000e+00
6.016458903506407413e-02	2.808585675552155436e-02	8.964189479943870253e+01	3.324232452567797758e+00	0.000000000000000000e+00
2.508008022864256868e-04	2.508008022864256868e-04	2.508008022864256868e-04	2.508008022864256868e-04	2.508008022864256868e-04
7.008748345385105993e-02	8.381753878088371579e-04	9.999197276847341698e+01	2.853591961215939943e+00	0.000000000000000000e+00
6.306548758144445155e-02	8.318819011884692749e-03	9.912339516878671475e+01	3.171323762580573469e+00	0.000000000000000000e+00
6.312733758464456058e-02	9.726391829334435357e-03	9.883208232228302847e+01	3.168216608178548555e+00	0.000000000000000000e+00
6.057656515230573635e-02	1.117534480552804244e-01	1.820959457355643352e+01	3.301624627657715916e+00	0.000000000000000000e+00
5.824418273665573492e-02	4.507829201884983039e-02	7.406946119649421689e+01	3.433837852443499816e+00	0.000000000000000000e+00
7.073425763375811026e-02	3.681142700400519274e-02	8.730295087198420845e+01	2.827499518003194101e+00	0.000000000000000000e+00
6.888643098028304768e-02	3.144229268590126303e-02	9.013729955437781882e+01	2.903345064037500034e+00	0.000000000000000000e+00
5.649636118200764695e-02	1.450880912600671646e-02	9.677817712917897097e+01	3.540070106841835429e+00	0.000000000000000000e+00
5.418486145922535996e-02	3.057097556665366866e-02	8.533041182317369078e+01	3.691087768421582371e+00	0.000000000000000000e+00
8.384908199132870554e-02	3.232514735196323485e-02	9.285960373882126362e+01	2.385250674377662694e+00	0.000000000000000000e+00
6.838017514475452918e-02	4.364655986809418131e-02	8.153190744995134764e+01	2.924840115463009038e+00	0.000000000000000000e+00
5.502525737737549993e-02	6.451201402549955333e-03	9.930446694102512595e+01	3.634714109451820274e+00	0.000000000000000000e+00
6.463995500828101370e-02	4.307255590481262608e-02	8.013214566227104285e+01	3.094078257637130847e+00	0.000000000000000000e+00
6.989712323249500092e-02	8.512407825924261928e-02	4.759471386891423350e+01	2.861363531378995351e+00	0.000000000000000000e+00
6.663143526154254037e-02	4.350114452230835482e-02	8.076675658748814612e+01	3.001602450565829638e+00	0.000000000000000000e+00
6.644942358952493633e-02	8.569391855069197206e-02	4.349521696560847772e+01	3.009824142361600341e+00	0.000000000000000000e+00
5.280104200243543322e-02	3.300503955027678238e-03	9.979887541266610640e+01	3.787824478095329628e+00	0.000000000000000000e+00
5.828558818823588450e-02	1.766032449065746412e-02	9.548856223111708630e+01	3.431398491164785458e+00	0.000000000000000000e+00
5.316615093053632390e-02	1.257761395540779592e-02	9.721880317443226716e+01	3.761812278400104681e+00	0.000000000000000000e+00
7.867269774999861853e-02	2.196799044543995549e-02	9.619352367296623640e+01	2.542191701641095758e+00	0.000000000000000000e+00
6.058768666424234339e-02	5.269320497626783784e-02	6.846082470824909194e+01	3.301018579469900960e+00	0.000000000000000000e+00
4.416066644400155200e-02	8.195351805457606886e-03	9.827202432293661616e+01	4.528941600538983536e+00	0.000000000000000000e+00
5.975814274639686813e-02	2.182807624620131115e-02	9.351779797130346594e+01	3.346842290841171685e+00	0.000000000000000000e+00
6.178844376688276407e-02	4.045415425408738219e-02	8.066547141203933791e+01	3.236868695388003481e+00	0.000000000000000000e+00
