# Number of simulations: 50
# Multi compartment simulation; White noise sigma=7; steps stimulus; gpas parameter; dt=0.1
# --
# The Ra-gpas-cm ball-and-stick simulation was running for 208.859579 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
1.041460667520878511e-06	5.004495000965381339e-05	0.000000000000000000e+00	1.920390136689982441e+01	0.000000000000000000e+00
4.649638323133240527e-06	2.687459540529676255e-08	9.999765220767899621e+01	4.301433046323280607e+00	0.000000000000000000e+00
5.421688944096775029e-06	1.073241047382976292e-06	9.807765937819181090e+01	3.688907302281318135e+00	0.000000000000000000e+00
4.131099651241386428e-06	3.808566058679830084e-06	6.545167724972516510e+01	4.841352091462252538e+00	0.000000000000000000e+00
4.894513673067372466e-08	4.894513673067372466e-08	4.894513673067372466e-08	4.894513673067372466e-08	4.894513673067372466e-08
9.128938500489658169e-06	2.959486969060883725e-06	9.486394792959170275e+01	2.190847044867670235e+00	0.000000000000000000e+00
5.118582630383741809e-06	3.295917065890811458e-06	8.122550537067294840e+01	3.907352753837839643e+00	0.000000000000000000e+00
4.195893155196175984e-06	1.757850221800546391e-06	9.155250021496044610e+01	4.766591330336529708e+00	0.000000000000000000e+00
4.371145826143571623e-06	9.646868274423451911e-07	9.756941779708053275e+01	4.575484033718796084e+00	0.000000000000000000e+00
5.875711892165125543e-06	6.828878393805618788e-06	5.094668014127456956e+01	3.403861234796974777e+00	0.000000000000000000e+00
5.300448167856991541e-06	2.464637826912890474e-06	8.979256039079089646e+01	3.773286202072729800e+00	0.000000000000000000e+00
4.963211150384208402e-06	8.997614144541979646e-07	9.838811492600268593e+01	4.029670979246613882e+00	0.000000000000000000e+00
6.580624674587550837e-06	7.304586019705685716e-07	9.939418481020317131e+01	3.039241550093418898e+00	0.000000000000000000e+00
5.575377974843877699e-06	4.152435941325610560e-06	7.582957390376610363e+01	3.587220100021384805e+00	0.000000000000000000e+00
6.259822521179150472e-06	7.902243651638043206e-06	4.512258707469781172e+01	3.194996003306668442e+00	0.000000000000000000e+00
6.016814465765890572e-06	6.250248819213106771e-06	5.835141378992436501e+01	3.324036007819731520e+00	0.000000000000000000e+00
4.494305293021374810e-06	9.052266275375291799e-07	9.796999020559805160e+01	4.450099989342523266e+00	0.000000000000000000e+00
4.403943391613694693e-06	4.594491482022659010e-06	5.809911899152125869e+01	4.541408950592351168e+00	0.000000000000000000e+00
7.550392291585653661e-06	3.076554137978419062e-06	9.205849347544575778e+01	2.648883285026802259e+00	0.000000000000000000e+00
3.301838080750993759e-06	9.777316840399089383e-07	9.566742426719029879e+01	6.057264907438314694e+00	0.000000000000000000e+00
7.425328061463320159e-06	7.254459930504484223e-06	6.208936272853631522e+01	2.693498222708157197e+00	0.000000000000000000e+00
5.234905254382460209e-06	4.352841636675813613e-06	7.071632898709405879e+01	3.820529114606829868e+00	0.000000000000000000e+00
6.770730381355147593e-06	1.862249403952300820e-06	9.626859733205198211e+01	2.953907010040104364e+00	0.000000000000000000e+00
7.458271862567020814e-06	6.711479449966650432e-06	6.666520266119965754e+01	2.681600819213466380e+00	0.000000000000000000e+00
4.710009358918586976e-06	1.754926143633514990e-06	9.325713162497748954e+01	4.246298980002123358e+00	0.000000000000000000e+00
8.844235859340117309e-06	1.063853884282473222e-05	4.847421057685895818e+01	2.261372068165163896e+00	0.000000000000000000e+00
4.100231694950274537e-06	1.013359387258056703e-06	9.696278697723505502e+01	4.877799457335064481e+00	0.000000000000000000e+00
6.657967340335646269e-06	5.663090555446675814e-06	6.960201099737713548e+01	3.003936023448291692e+00	0.000000000000000000e+00
4.597617453228285044e-06	3.751209528205412709e-06	7.175146139598759021e+01	4.350102665138678049e+00	0.000000000000000000e+00
8.775889979535314109e-06	9.443038868814021547e-06	5.601652319162595717e+01	2.278983440222603907e+00	0.000000000000000000e+00
5.199751310251002489e-06	4.488485053492205956e-06	6.895353299336031228e+01	3.846358555100018783e+00	0.000000000000000000e+00
4.796099875855560229e-06	4.105126817516220909e-06	6.939076578050385535e+01	4.170077449233418498e+00	0.000000000000000000e+00
3.484618573801874222e-06	1.782529580328948236e-06	8.780035289787775810e+01	5.739540071025746037e+00	0.000000000000000000e+00
1.004943722096292209e-05	1.768442535036665207e-06	9.847218974149623705e+01	1.990171936678866826e+00	0.000000000000000000e+00
4.975815612299209473e-06	4.696931528081122777e-07	9.956486455133507718e+01	4.019463238778432590e+00	0.000000000000000000e+00
5.007330979407090112e-06	6.093369430766669252e-06	4.774979058204844762e+01	3.994165358516932329e+00	0.000000000000000000e+00
