# Number of simulations: 50
# Multi compartment simulation; White noise sigma=1; steps stimulus; gpas parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.4
# The Ra-gpas-cm ball-and-stick simulation was running for 725.210379 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
3.258650036367140023e-07	5.002501250625312297e-05	0.000000000000000000e+00	3.487058823529303027e+02	0.000000000000000000e+00
3.807652592080778208e-07	1.250625312656340271e-06	5.114532279986417906e-01	5.264653641207755186e+01	0.000000000000000000e+00
7.887355786092431187e-07	2.501250625312599228e-07	9.430297868622409396e+01	2.533333333333331083e+01	0.000000000000000000e+00
2.384023826604155770e-07	1.150575287643830881e-06	6.382393994038356062e-04	8.420454545454320794e+01	0.000000000000000000e+00
3.347642904530156291e-09	3.347642904530156291e-09	3.347642904530156291e-09	3.347642904530156291e-09	3.347642904530156291e-09
6.443951869936602074e-07	5.002501250625469506e-08	9.996810008452347063e+01	3.100418410041878303e+01	0.000000000000000000e+00
8.356278228496729499e-07	1.000500250124958376e-07	9.918242386003947786e+01	2.394184168012921532e+01	0.000000000000000000e+00
8.328137297341029463e-07	0.000000000000000000e+00	1.000000000000000000e+02	2.409756097560977040e+01	0.000000000000000000e+00
7.491003185847922282e-07	6.003001500750292357e-07	7.178851573691899546e+01	2.677506775067751477e+01	0.000000000000000000e+00
3.844215137960468906e-07	1.250625312656340271e-06	5.591723597654151279e-01	5.199999999999941025e+01	0.000000000000000000e+00
8.117815467890546838e-07	1.900950475237610650e-06	6.095772163176516045e+00	2.461794019933550004e+01	0.000000000000000000e+00
5.553134304738771507e-07	4.502251125562651505e-07	7.036192271762115524e+01	3.601458080194413469e+01	0.000000000000000000e+00
1.170886774874715435e-06	9.504752376188121011e-07	7.092604531295934578e+01	1.708357348703169265e+01	0.000000000000000000e+00
9.557483236898366256e-07	2.001000500250052277e-07	9.733650844953164949e+01	2.091743119266058670e+01	0.000000000000000000e+00
8.212599574744331986e-07	1.000500250125093901e-07	9.942539151517937057e+01	2.439506172839508480e+01	0.000000000000000000e+00
9.123305325582210117e-07	5.002501250625333981e-07	8.659445365068879141e+01	2.192307692307691980e+01	0.000000000000000000e+00
2.138706438765704934e-07	1.200600300150078800e-06	1.679452736193608780e-05	9.409523809523835780e+01	0.000000000000000000e+00
6.789478540957695939e-07	6.003001500750427882e-07	6.933461099770856606e+01	2.949253731343278062e+01	0.000000000000000000e+00
7.436967167160783922e-07	7.503751875937933209e-07	6.070369354792545380e+01	2.694545454545459862e+01	0.000000000000000000e+00
6.760951728469355735e-07	6.503251625812974833e-07	6.126438726849535499e+01	2.961038961038955009e+01	0.000000000000000000e+00
7.701431614696970454e-07	2.501250625312734753e-07	9.417424534778591294e+01	2.604569420035157279e+01	0.000000000000000000e+00
7.072792317617263872e-07	4.502251125562651505e-07	8.199464161322929101e+01	2.822857142857148460e+01	0.000000000000000000e+00
2.323776686684194055e-07	1.200600300150058471e-06	1.304814539432693399e-04	8.641399416909651165e+01	0.000000000000000000e+00
6.910962773575099312e-07	8.004002001000480159e-07	5.283447938505083386e+01	2.891707317073176498e+01	0.000000000000000000e+00
9.049764299372588549e-07	3.001500750375281704e-07	9.418691150168902482e+01	2.210290827740491082e+01	0.000000000000000000e+00
8.538076284384108253e-07	1.250625312656326719e-06	3.392140647485634730e+01	2.346793349168640930e+01	0.000000000000000000e+00
7.801288985349328162e-07	1.050525262631307939e-06	4.026743509577963920e+01	2.566233766233761671e+01	0.000000000000000000e+00
9.773786971822284110e-07	0.000000000000000000e+00	1.000000000000000000e+02	2.048375950241878130e+01	0.000000000000000000e+00
8.736780244552523672e-07	7.503751875937933209e-07	6.783632109031772472e+01	2.287037037037038800e+01	0.000000000000000000e+00
7.940577124392837436e-07	2.001000500250187802e-07	9.680973926841321031e+01	2.518266779949029299e+01	0.000000000000000000e+00
7.103773109111879326e-07	7.503751875938068734e-07	5.562122936462296252e+01	2.817490494296570347e+01	0.000000000000000000e+00
7.058326254979187436e-07	8.504252126063027110e-07	4.882648970483329975e+01	2.828244274809162206e+01	0.000000000000000000e+00
9.275662580783071557e-07	5.502751375687745406e-07	8.277142334308216221e+01	2.160349854227406041e+01	0.000000000000000000e+00
1.232964211924638714e-06	6.003001500750292357e-07	8.823584561440239327e+01	1.623220153340636074e+01	0.000000000000000000e+00
7.875999026281414756e-07	8.504252126063027110e-07	5.591521319861146821e+01	2.542024013722127407e+01	0.000000000000000000e+00
6.288907195569192158e-07	5.002501250625198456e-07	7.410132753228128877e+01	3.187096774193556925e+01	0.000000000000000000e+00
8.012411352497265759e-07	3.001500750375146178e-07	9.237708444096941207e+01	2.497051390058972586e+01	0.000000000000000000e+00
9.163023922876031692e-07	1.300650325162581414e-06	3.734530477627595246e+01	2.177810433504777166e+01	0.000000000000000000e+00
8.273852103759117804e-07	1.000500250124958376e-07	9.935507035029222322e+01	2.419591836734693047e+01	0.000000000000000000e+00
7.108045689776820478e-07	1.200600300150085576e-06	2.480536974818179630e+01	2.812144212523724462e+01	0.000000000000000000e+00
6.701464493250287617e-07	6.503251625812974833e-07	6.346820138511210274e+01	2.984894259818724294e+01	0.000000000000000000e+00
7.476742320607454673e-07	3.501750875437557604e-07	8.846980657789667646e+01	2.672678088367900173e+01	0.000000000000000000e+00
8.343986966053113849e-07	5.002501250625469506e-08	9.984197755108098704e+01	2.401944894651544260e+01	0.000000000000000000e+00
7.815279680047757554e-07	3.001500750375010653e-07	9.347809377839733713e+01	2.559585492227977710e+01	0.000000000000000000e+00
6.946232276441119791e-07	9.504752376187985486e-07	3.736994212648815505e+01	2.877669902912615640e+01	0.000000000000000000e+00
8.301335143665240978e-07	8.004002001000480159e-07	6.226767547900539057e+01	2.411716842961761742e+01	0.000000000000000000e+00
8.164551796968385227e-07	1.000500250125093901e-07	9.902881327051019866e+01	2.445544554455448605e+01	0.000000000000000000e+00
8.252362834979098549e-07	7.503751875937933209e-07	6.445614502787016420e+01	2.419591836734696955e+01	0.000000000000000000e+00
3.026259910809104068e-07	1.200600300150085576e-06	3.733984814199168417e-02	6.630872483221378388e+01	0.000000000000000000e+00
1.094772085241331487e-06	7.003501750875386258e-07	8.032873213718259819e+01	1.822878228782286669e+01	0.000000000000000000e+00
