# Number of simulations: 50
# Multi compartment simulation; White noise sigma=1; steps stimulus; Ra parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.4
# The Ra-gpas-cm ball-and-stick simulation was running for 725.210379 minutes
# sigma	diff	accuracy	sharper	sigma_err
2.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.275736799417447331e+00	2.401200600300157362e+00	1.690351303784893133e+01	1.569915254237288238e+01	0.000000000000000000e+00
2.258463422517328123e+00	1.700850425212607320e+00	7.490210620941006425e+01	8.860986547085209608e+00	0.000000000000000000e+00
8.780024543886761901e-01	2.401200600300157362e+00	2.407608278483774011e+00	2.278247501921599749e+01	0.000000000000000000e+00
4.067660490533180767e-02	4.067660490533180767e-02	4.067660490533180767e-02	4.067660490533180767e-02	4.067660490533180767e-02
2.441723388039485076e+00	1.650825412706353745e+00	7.950083476455576204e+01	8.181065415401596042e+00	0.000000000000000000e+00
2.565826003894198681e+00	3.001500750375072357e-01	9.934794539570953020e+01	7.802053171887342486e+00	0.000000000000000000e+00
2.120696466566108107e+00	1.800900450225100258e+00	7.019755716448689498e+01	9.427480916030535951e+00	0.000000000000000000e+00
9.022526636874799166e-01	2.501250625312650300e+00	2.200338477999274289e+00	2.216903515332834118e+01	0.000000000000000000e+00
8.893324765551486877e-01	2.201100550275157275e+00	4.905545082083336617e+00	2.247156937073541627e+01	0.000000000000000000e+00
2.499980807308404440e+00	3.801900950475229024e+00	3.151465556967892212e+01	8.012976480129767154e+00	0.000000000000000000e+00
9.403548955143937738e-01	2.801400700350171746e+00	1.155215992241603429e+00	2.132374100719423993e+01	0.000000000000000000e+00
1.628195872323824789e+00	2.201100550275143064e+00	4.029419620080640385e+01	1.229875518672198886e+01	0.000000000000000000e+00
2.464746258314495453e+00	4.002001000500285954e-01	9.856639607496775568e+01	8.118323746918655104e+00	0.000000000000000000e+00
3.255270075824679310e+00	6.003001500750428931e-01	9.824720632806143783e+01	6.146827042720862444e+00	0.000000000000000000e+00
1.310335997071410130e+00	8.504252126062965544e-01	8.167357790405242213e+01	1.524691358024691290e+01	0.000000000000000000e+00
2.595549567275988956e+00	1.500750375187607233e-01	9.985093474178032125e+01	7.706708268330728195e+00	0.000000000000000000e+00
2.120235106659206004e+00	2.601300650325171659e+00	4.703035602366939116e+01	9.442497610704045030e+00	0.000000000000000000e+00
9.895821789243195443e-01	2.951475737868932470e+00	1.259921781434558241e+00	2.023208191126279232e+01	0.000000000000000000e+00
1.038375577857207244e+00	7.003501750875500420e-01	7.935526724970003443e+01	1.925925925925927729e+01	0.000000000000000000e+00
1.006128354419895787e+00	2.501250625312664511e+00	4.694899639264670022e+00	1.990597716588315080e+01	0.000000000000000000e+00
2.095691530781487177e+00	2.001000500250000869e-01	9.956694762408999111e+01	9.552046406703189163e+00	0.000000000000000000e+00
1.394006700561934098e+00	1.550775387693846596e+00	5.391937943320709081e+01	1.433268858800773771e+01	0.000000000000000000e+00
9.847703706421672143e-01	1.250625312656325150e+00	4.555697319319671124e+01	2.027359781121750260e+01	0.000000000000000000e+00
1.085087881323608228e+00	6.003001500750428931e-01	8.548202425605994392e+01	1.844430616054760463e+01	0.000000000000000000e+00
