# Number of simulations: 50
# Multi compartment simulation; White noise sigma=1; steps stimulus; cm parameter; dt=0.1
# MacBook Pro (Retina, Mid 2012); 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.4
# The Ra-gpas-cm ball-and-stick simulation was running for 725.210379 minutes
# 
# sigma	diff	accuracy	sharper	sigma_err
3.258525185101528686e-03	4.997498749374689186e-01	0.000000000000000000e+00	3.528571428571361821e+02	0.000000000000000000e+00
7.888117399735246685e-03	7.203601800900449881e-02	6.581795585198067478e-17	2.535500427715997418e+01	0.000000000000000000e+00
8.755948168007525803e-03	2.021010505252625045e-01	1.415545546090515881e-114	2.283513097072417253e+01	0.000000000000000000e+00
7.158709277695650408e-03	1.150575287643818001e-02	2.600263102599429388e+01	2.788334901222945561e+01	0.000000000000000000e+00
7.414855920932663870e-06	7.414855920932663870e-06	7.414855920932663870e-06	7.414855920932663870e-06	7.414855920932663870e-06
9.076073530429808189e-03	1.715857928964482637e-01	2.029684994913589089e-76	2.198813056379820807e+01	0.000000000000000000e+00
8.689151872924023856e-03	1.025512756378188506e-01	7.448674636477152797e-29	2.299456943366948636e+01	0.000000000000000000e+00
1.002691511764853063e-02	1.150575287643821332e-01	2.153536659894285727e-27	1.991935483870969392e+01	0.000000000000000000e+00
8.542154518999325874e-03	1.980990495247620942e-01	2.264645736163065262e-115	2.344936708860755559e+01	0.000000000000000000e+00
7.460525753029988161e-03	5.952976488244121622e-02	1.285154457008911332e-12	2.677506775067747213e+01	0.000000000000000000e+00
9.791321785993593527e-03	8.354177088544278984e-02	1.651093718397506907e-14	2.039917412250516904e+01	0.000000000000000000e+00
6.783731638795968688e-03	6.303151575787890870e-02	2.254461673465779566e-17	2.955134596211364340e+01	0.000000000000000000e+00
8.344832719417563660e-03	7.153576788394200303e-02	1.100295652868615202e-14	2.401944894651539286e+01	0.000000000000000000e+00
8.945398937912374740e-03	1.535767883941970835e-01	1.230128299735442695e-62	2.238670694864043398e+01	0.000000000000000000e+00
1.343247436134427375e-02	9.254627313656804688e-02	5.561043567820549113e-09	1.492447129909366055e+01	0.000000000000000000e+00
9.345686099934955027e-03	1.235617808904450055e-01	1.485022381220759808e-36	2.140072202166065907e+01	0.000000000000000000e+00
8.240778852301426302e-03	1.000500250124991553e-03	9.892903682199576565e+01	2.423548650858544917e+01	0.000000000000000000e+00
8.100736943865639167e-03	1.500750375187598351e-02	1.872721949283155851e+01	2.467943380516235763e+01	0.000000000000000000e+00
7.841267177238125941e-03	2.401200600300157362e-02	9.478730566461643914e-01	2.555172413793103559e+01	0.000000000000000000e+00
8.014986435913463297e-03	2.051025512756378122e-01	3.547468841887938487e-141	2.494949494949491964e+01	0.000000000000000000e+00
8.236584878599489956e-03	3.101550775387695857e-02	8.155332928938557879e-02	2.433497536945812456e+01	0.000000000000000000e+00
1.028842285818901657e-02	8.004002001000498634e-02	8.180646827503569225e-12	1.946158896913986780e+01	0.000000000000000000e+00
8.349713838222647469e-03	2.026013006503252223e-01	1.277900956600622992e-126	2.399999999999998224e+01	0.000000000000000000e+00
7.793019988490114403e-03	1.240620310155078343e-01	5.830290750309079421e-54	2.566233766233769487e+01	0.000000000000000000e+00
1.026052111269255308e-02	1.240620310155077233e-01	1.646585466064503344e-30	1.944881889763781402e+01	0.000000000000000000e+00
8.663954651984341268e-03	4.602301150575294209e-02	7.592514347808507387e-05	2.312012480499220146e+01	0.000000000000000000e+00
9.073445782944599206e-03	3.701850925462735198e-02	2.365162283863932874e-02	2.203717472118959364e+01	0.000000000000000000e+00
8.800698512985595870e-03	2.601300650325155672e-02	1.329305559852883123e+00	2.278247501921602591e+01	0.000000000000000000e+00
8.257879876728558763e-03	2.121060530265130861e-01	2.829634517649942248e-142	2.419591836734698020e+01	0.000000000000000000e+00
1.000770660809480010e-02	5.802901450725350685e-02	5.320381913903258839e-06	2.004056795131842961e+01	0.000000000000000000e+00
8.492837219993666989e-03	3.651825912956485620e-02	9.389935011277741189e-03	2.359872611464965786e+01	0.000000000000000000e+00
8.275291875525930124e-03	7.253626813406710561e-02	2.372069322932250841e-15	2.415647921760390560e+01	0.000000000000000000e+00
9.103936426765399034e-03	1.200600300150078681e-02	4.067756166447178856e+01	2.197183098591549921e+01	0.000000000000000000e+00
9.823851674723329055e-03	1.095547773886942355e-01	8.239641774669767275e-26	2.032921810699588505e+01	0.000000000000000000e+00
8.501897327464419743e-03	2.101050525262615487e-02	4.745440640568219237e+00	2.359872611464973247e+01	0.000000000000000000e+00
7.861893351727497828e-03	2.001000500250116332e-02	3.911714372295030273e+00	2.548581255374036303e+01	0.000000000000000000e+00
1.151246381749812704e-02	4.702351175587793364e-02	2.556767174505029591e-02	1.737397420867527487e+01	0.000000000000000000e+00
8.877045431439821443e-03	1.435717858929466129e-01	2.407791237990503286e-55	2.250569476082003462e+01	0.000000000000000000e+00
8.854621814112019137e-03	5.152576288144061767e-02	4.965006410330274307e-06	2.262595419847328060e+01	0.000000000000000000e+00
8.129132218347340927e-03	7.503751875937991755e-03	6.554791433395553213e+01	2.457711442786069966e+01	0.000000000000000000e+00
8.583820858476132881e-03	5.552776388194091695e-02	7.634060451538018914e-08	2.330188679245282302e+01	0.000000000000000000e+00
8.539127433044597232e-03	5.152576288144072869e-02	1.277153861532566090e-06	2.352380952380952195e+01	0.000000000000000000e+00
9.513755863062902871e-03	1.460730365182589807e-01	9.272204700439753143e-50	2.099150141643062284e+01	0.000000000000000000e+00
1.218373493423983642e-02	2.301150575287636002e-02	1.726254335804038575e+01	1.639380530973453176e+01	0.000000000000000000e+00
7.492013192718220346e-03	2.201100550275114642e-02	1.457054901867348873e+00	2.670270270270276214e+01	0.000000000000000000e+00
4.953755489056669084e-03	2.001000500250116332e-02	2.531235040909390194e-02	4.043656207366996114e+01	0.000000000000000000e+00
1.098323288779555831e-02	1.650825412706353745e-01	1.232575558956713411e-47	1.816176470588236924e+01	0.000000000000000000e+00
8.561893403961521459e-03	5.602801400700341272e-02	4.244075149157042855e-08	2.335697399527186491e+01	0.000000000000000000e+00
8.288935476071084343e-03	5.002501250626067986e-04	9.968285325434180777e+01	2.417618270799344060e+01	0.000000000000000000e+00
9.031234195408435056e-03	4.202101050525275383e-02	2.121557744151161742e-03	2.215246636771297872e+01	0.000000000000000000e+00
